cycle_count,avg_depth_of_discharge,avg_operating_temp_c,soh_percent
912,0.802,31.2,83.5
1013,0.802,31.2,81.76
1115,0.802,31.2,79.75
0,0.782,23.1,100.0
81,0.782,23.1,99.15
162,0.782,23.1,97.92
243,0.782,23.1,96.36
324,0.782,23.1,95.7
405,0.782,23.1,94.0
486,0.782,23.1,92.87
567,0.782,23.1,91.5
648,0.782,23.1,91.06
729,0.782,23.1,89.59
810,0.782,23.1,88.34
891,0.782,23.1,87.31
0,0.98,17.0,99.74
187,0.98,17.0,97.22
374,0.98,17.0,94.4
562,0.98,17.0,91.49
749,0.98,17.0,88.9
937,0.98,17.0,85.66
1124,0.98,17.0,83.28
1312,0.98,17.0,80.21
1499,0.98,17.0,77.39
1687,0.98,17.0,74.39
1874,0.98,17.0,71.41
2062,0.98,17.0,68.03
0,0.98,30.6,99.65
90,0.98,30.6,97.78
180,0.98,30.6,96.68
270,0.98,30.6,94.86
360,0.98,30.6,92.94
450,0.98,30.6,91.99
540,0.98,30.6,89.64
630,0.98,30.6,87.85
720,0.98,30.6,85.4
810,0.98,30.6,83.5
900,0.98,30.6,81.97
991,0.98,30.6,80.1
0,0.316,27.7,100.0
20,0.316,27.7,99.75
40,0.316,27.7,99.35
61,0.316,27.7,99.25
81,0.316,27.7,99.18
101,0.316,27.7,99.07
122,0.316,27.7,99.04
142,0.316,27.7,99.0
162,0.316,27.7,98.32
183,0.316,27.7,98.05
203,0.316,27.7,98.15
224,0.316,27.7,98.0
0,0.572,34.5,100.0
108,0.572,34.5,99.07
217,0.572,34.5,96.46
325,0.572,34.5,95.06
434,0.572,34.5,93.31
542,0.572,34.5,91.51
651,0.572,34.5,89.52
759,0.572,34.5,87.43
868,0.572,34.5,86.16
976,0.572,34.5,84.04
1085,0.572,34.5,82.5
1194,0.572,34.5,80.34
0,0.452,30.6,100.0
197,0.452,30.6,97.81
394,0.452,30.6,95.81
592,0.452,30.6,92.5
789,0.452,30.6,89.9
986,0.452,30.6,86.64
1184,0.452,30.6,83.82
1381,0.452,30.6,82.06
1578,0.452,30.6,78.4
1776,0.452,30.6,75.55
1973,0.452,30.6,73.09
2171,0.452,30.6,70.23
0,0.488,26.9,99.72
40,0.488,26.9,99.08
80,0.488,26.9,99.45
120,0.488,26.9,98.82
161,0.488,26.9,97.94
201,0.488,26.9,97.12
241,0.488,26.9,96.92
281,0.488,26.9,96.67
322,0.488,26.9,96.59
362,0.488,26.9,95.32
402,0.488,26.9,95.15
443,0.488,26.9,94.9
0,0.25,36.2,99.59
194,0.25,36.2,97.99
388,0.25,36.2,95.68
583,0.25,36.2,93.63
777,0.25,36.2,91.06
972,0.25,36.2,87.62
1166,0.25,36.2,85.74
1361,0.25,36.2,83.6
1555,0.25,36.2,81.02
1750,0.25,36.2,78.75
1944,0.25,36.2,76.36
2139,0.25,36.2,73.77
0,0.611,16.1,100.0
123,0.611,16.1,98.39
247,0.611,16.1,97.67
371,0.611,16.1,96.41
494,0.611,16.1,94.77
618,0.611,16.1,92.26
742,0.611,16.1,91.47
866,0.611,16.1,91.15
989,0.611,16.1,88.88
1113,0.611,16.1,86.93
1237,0.611,16.1,86.61
1361,0.611,16.1,84.72
0,0.849,30.9,100.0
183,0.849,30.9,97.01
367,0.849,30.9,93.77
551,0.849,30.9,90.88
735,0.849,30.9,86.92
919,0.849,30.9,82.48
1103,0.849,30.9,79.6
1287,0.849,30.9,76.23
1471,0.849,30.9,72.62
1655,0.849,30.9,68.38
1839,0.849,30.9,65.26
2023,0.849,30.9,61.47
0,0.98,23.7,99.89
16,0.98,23.7,99.6
33,0.98,23.7,99.21
50,0.98,23.7,98.29
66,0.98,23.7,98.85
83,0.98,23.7,98.86
100,0.98,23.7,98.29
117,0.98,23.7,98.86
133,0.98,23.7,97.93
150,0.98,23.7,98.09
167,0.98,23.7,97.45
184,0.98,23.7,97.37
0,0.7,38.6,100.0
19,0.7,38.6,99.87
38,0.7,38.6,99.49
58,0.7,38.6,98.91
77,0.7,38.6,98.81
96,0.7,38.6,99.11
116,0.7,38.6,97.86
135,0.7,38.6,97.75
154,0.7,38.6,97.69
174,0.7,38.6,97.27
193,0.7,38.6,96.51
213,0.7,38.6,95.3
0,0.743,13.5,100.0
43,0.743,13.5,99.92
87,0.743,13.5,98.79
131,0.743,13.5,98.08
175,0.743,13.5,98.23
219,0.743,13.5,97.63
262,0.743,13.5,96.98
306,0.743,13.5,96.68
350,0.743,13.5,97.11
394,0.743,13.5,95.92
438,0.743,13.5,95.48
482,0.743,13.5,94.9
0,0.916,27.7,99.28
121,0.916,27.7,97.97
242,0.916,27.7,96.21
363,0.916,27.7,93.42
484,0.916,27.7,91.5
605,0.916,27.7,89.09
726,0.916,27.7,87.61
847,0.916,27.7,85.08
968,0.916,27.7,82.76
1089,0.916,27.7,80.45
1210,0.916,27.7,77.91
1332,0.916,27.7,75.64
0,0.437,13.7,100.0
106,0.437,13.7,99.58
212,0.437,13.7,98.8
318,0.437,13.7,97.88
424,0.437,13.7,96.03
530,0.437,13.7,95.31
637,0.437,13.7,94.62
743,0.437,13.7,94.37
849,0.437,13.7,93.02
955,0.437,13.7,91.91
1061,0.437,13.7,90.39
1168,0.437,13.7,89.21
0,0.792,21.3,99.92
111,0.792,21.3,98.53
223,0.792,21.3,97.59
335,0.792,21.3,95.32
447,0.792,21.3,92.98
559,0.792,21.3,92.38
671,0.792,21.3,90.31
783,0.792,21.3,88.91
895,0.792,21.3,87.19
1007,0.792,21.3,85.44
1119,0.792,21.3,84.12
1231,0.792,21.3,81.61
0,0.557,33.8,99.44
39,0.557,33.8,99.72
79,0.557,33.8,99.31
118,0.557,33.8,98.33
158,0.557,33.8,97.06
197,0.557,33.8,97.41
237,0.557,33.8,95.97
276,0.557,33.8,96.07
316,0.557,33.8,95.03
355,0.557,33.8,94.33
395,0.557,33.8,93.96
435,0.557,33.8,93.42
0,0.534,33.1,99.84
191,0.534,33.1,97.69
382,0.534,33.1,94.61
574,0.534,33.1,91.34
765,0.534,33.1,88.32
957,0.534,33.1,85.04
1148,0.534,33.1,82.68
1340,0.534,33.1,79.39
1531,0.534,33.1,75.6
1723,0.534,33.1,73.13
1914,0.534,33.1,69.89
2106,0.534,33.1,67.61
0,0.343,18.9,100.0
180,0.343,18.9,98.24
360,0.343,18.9,96.68
540,0.343,18.9,95.48
720,0.343,18.9,92.78
900,0.343,18.9,91.25
1080,0.343,18.9,90.09
1260,0.343,18.9,89.01
1440,0.343,18.9,86.58
1620,0.343,18.9,85.02
1800,0.343,18.9,83.62
1980,0.343,18.9,82.2
0,0.546,28.9,100.0
165,0.546,28.9,97.38
331,0.546,28.9,96.02
497,0.546,28.9,92.99
662,0.546,28.9,91.04
828,0.546,28.9,88.54
994,0.546,28.9,85.88
1160,0.546,28.9,83.45
1325,0.546,28.9,81.46
1491,0.546,28.9,79.26
1657,0.546,28.9,76.39
1823,0.546,28.9,73.97
0,0.753,22.2,100.0
129,0.753,22.2,99.26
258,0.753,22.2,96.44
387,0.753,22.2,94.59
516,0.753,22.2,93.17
645,0.753,22.2,91.32
774,0.753,22.2,88.95
903,0.753,22.2,87.09
1032,0.753,22.2,85.5
1161,0.753,22.2,83.08
1290,0.753,22.2,81.28
1420,0.753,22.2,79.49
0,0.829,24.8,99.36
43,0.829,24.8,98.74
87,0.829,24.8,98.33
131,0.829,24.8,97.65
174,0.829,24.8,97.4
218,0.829,24.8,96.36
262,0.829,24.8,95.85
306,0.829,24.8,95.13
349,0.829,24.8,94.57
393,0.829,24.8,94.49
437,0.829,24.8,93.55
481,0.829,24.8,92.62
0,0.567,26.0,100.0
192,0.567,26.0,97.34
385,0.567,26.0,95.15
577,0.567,26.0,91.85
770,0.567,26.0,90.01
962,0.567,26.0,87.55
1155,0.567,26.0,84.49
1347,0.567,26.0,82.53
1540,0.567,26.0,78.85
1732,0.567,26.0,76.5
1925,0.567,26.0,73.64
2118,0.567,26.0,70.84
0,0.629,29.7,100.0
182,0.629,29.7,97.94
365,0.629,29.7,94.72
548,0.629,29.7,92.19
731,0.629,29.7,88.8
914,0.629,29.7,86.42
1096,0.629,29.7,82.98
1279,0.629,29.7,80.68
1462,0.629,29.7,78.1
1645,0.629,29.7,74.3
1828,0.629,29.7,70.57
2011,0.629,29.7,68.12
0,0.872,32.9,100.0
49,0.872,32.9,99.34
98,0.872,32.9,98.71
147,0.872,32.9,97.69
196,0.872,32.9,96.98
245,0.872,32.9,95.63
294,0.872,32.9,94.88
343,0.872,32.9,93.5
392,0.872,32.9,92.43
441,0.872,32.9,92.27
490,0.872,32.9,90.77
539,0.872,32.9,90.0
0,0.672,24.9,100.0
53,0.672,24.9,99.85
107,0.672,24.9,98.84
161,0.672,24.9,97.32
215,0.672,24.9,97.11
269,0.672,24.9,97.06
322,0.672,24.9,95.62
376,0.672,24.9,94.3
430,0.672,24.9,94.83
484,0.672,24.9,93.63
538,0.672,24.9,92.59
592,0.672,24.9,91.71
0,0.845,25.2,100.0
41,0.845,25.2,99.52
82,0.845,25.2,98.87
124,0.845,25.2,98.12
165,0.845,25.2,97.91
207,0.845,25.2,96.58
248,0.845,25.2,95.67
290,0.845,25.2,95.78
331,0.845,25.2,95.12
373,0.845,25.2,94.39
414,0.845,25.2,93.7
456,0.845,25.2,92.75
0,0.792,28.7,99.83
91,0.792,28.7,98.53
182,0.792,28.7,97.88
273,0.792,28.7,95.07
364,0.792,28.7,94.32
455,0.792,28.7,92.01
547,0.792,28.7,90.99
638,0.792,28.7,89.3
729,0.792,28.7,87.14
820,0.792,28.7,86.41
911,0.792,28.7,84.53
1003,0.792,28.7,82.3
0,0.801,39.0,100.0
112,0.801,39.0,97.86
224,0.801,39.0,96.01
337,0.801,39.0,93.75
449,0.801,39.0,91.15
561,0.801,39.0,87.99
674,0.801,39.0,85.9
786,0.801,39.0,83.5
898,0.801,39.0,80.22
1011,0.801,39.0,78.48
1123,0.801,39.0,76.58
1236,0.801,39.0,73.44
0,0.915,30.3,99.97
164,0.915,30.3,97.27
329,0.915,30.3,93.76
494,0.915,30.3,90.53
659,0.915,30.3,88.09
824,0.915,30.3,84.86
989,0.915,30.3,80.73
1154,0.915,30.3,78.09
1319,0.915,30.3,74.37
1484,0.915,30.3,71.15
1649,0.915,30.3,67.8
1814,0.915,30.3,64.58
0,0.665,38.9,100.0
184,0.665,38.9,96.46
369,0.665,38.9,94.02
553,0.665,38.9,89.86
738,0.665,38.9,86.3
922,0.665,38.9,81.81
1107,0.665,38.9,78.35
1291,0.665,38.9,75.33
1476,0.665,38.9,71.21
1660,0.665,38.9,66.65
1845,0.665,38.9,63.84
2030,0.665,38.9,59.44
0,0.904,28.4,100.0
160,0.904,28.4,97.75
320,0.904,28.4,94.18
480,0.904,28.4,91.23
640,0.904,28.4,88.53
800,0.904,28.4,85.88
960,0.904,28.4,82.09
1120,0.904,28.4,78.9
1280,0.904,28.4,76.69
1440,0.904,28.4,73.08
1600,0.904,28.4,70.03
1761,0.904,28.4,66.36
0,0.528,28.9,99.73
25,0.528,28.9,100.0
51,0.528,28.9,99.16
77,0.528,28.9,98.84
103,0.528,28.9,99.28
129,0.528,28.9,98.48
154,0.528,28.9,97.89
180,0.528,28.9,97.69
206,0.528,28.9,97.87
232,0.528,28.9,97.57
258,0.528,28.9,96.42
284,0.528,28.9,96.34
0,0.666,22.1,99.98
95,0.666,22.1,98.88
190,0.666,22.1,98.08
286,0.666,22.1,96.87
381,0.666,22.1,95.08
476,0.666,22.1,93.85
572,0.666,22.1,92.87
667,0.666,22.1,91.14
762,0.666,22.1,90.25
858,0.666,22.1,88.7
953,0.666,22.1,87.08
1049,0.666,22.1,85.75
0,0.91,27.9,99.82
63,0.91,27.9,99.11
126,0.91,27.9,98.78
190,0.91,27.9,96.47
253,0.91,27.9,95.06
317,0.91,27.9,95.03
380,0.91,27.9,93.16
444,0.91,27.9,92.28
507,0.91,27.9,90.93
571,0.91,27.9,90.05
634,0.91,27.9,88.45
698,0.91,27.9,87.53
0,0.731,21.9,99.75
47,0.731,21.9,99.32
94,0.731,21.9,98.34
142,0.731,21.9,98.06
189,0.731,21.9,97.62
236,0.731,21.9,96.81
284,0.731,21.9,96.2
331,0.731,21.9,95.64
378,0.731,21.9,94.77
426,0.731,21.9,94.57
473,0.731,21.9,94.17
521,0.731,21.9,92.83
0,0.737,27.3,100.0
13,0.737,27.3,100.0
26,0.737,27.3,99.04
39,0.737,27.3,99.64
52,0.737,27.3,99.73
65,0.737,27.3,99.03
78,0.737,27.3,99.27
91,0.737,27.3,98.49
104,0.737,27.3,98.02
117,0.737,27.3,98.4
130,0.737,27.3,97.54
144,0.737,27.3,97.86
0,0.882,15.6,99.55
106,0.882,15.6,98.36
213,0.882,15.6,97.32
320,0.882,15.6,95.79
426,0.882,15.6,94.98
533,0.882,15.6,93.36
640,0.882,15.6,91.72
747,0.882,15.6,90.11
853,0.882,15.6,88.71
960,0.882,15.6,86.76
1067,0.882,15.6,85.84
1174,0.882,15.6,83.63
0,0.8,37.3,99.94
102,0.8,37.3,98.26
204,0.8,37.3,95.11
306,0.8,37.3,94.16
408,0.8,37.3,91.92
510,0.8,37.3,89.82
612,0.8,37.3,87.94
714,0.8,37.3,85.5
816,0.8,37.3,82.95
918,0.8,37.3,81.11
1020,0.8,37.3,78.98
1122,0.8,37.3,76.78
0,0.679,36.3,99.62
90,0.679,36.3,98.6
180,0.679,36.3,97.42
270,0.679,36.3,94.76
360,0.679,36.3,93.79
450,0.679,36.3,91.87
540,0.679,36.3,90.27
630,0.679,36.3,88.4
720,0.679,36.3,86.95
810,0.679,36.3,85.95
900,0.679,36.3,83.14
990,0.679,36.3,81.45
0,0.416,41.1,99.99
18,0.416,41.1,99.62
36,0.416,41.1,99.18
54,0.416,41.1,99.17
72,0.416,41.1,99.85
90,0.416,41.1,99.21
108,0.416,41.1,98.15
126,0.416,41.1,98.41
144,0.416,41.1,97.62
162,0.416,41.1,97.01
180,0.416,41.1,97.71
198,0.416,41.1,97.48
0,0.838,25.7,99.94
116,0.838,25.7,98.56
233,0.838,25.7,96.59
349,0.838,25.7,94.44
466,0.838,25.7,92.09
583,0.838,25.7,90.74
699,0.838,25.7,89.13
816,0.838,25.7,86.35
933,0.838,25.7,84.99
1049,0.838,25.7,82.89
1166,0.838,25.7,81.01
1283,0.838,25.7,79.02
0,0.525,17.7,100.0
185,0.525,17.7,98.01
371,0.525,17.7,96.01
557,0.525,17.7,93.63
743,0.525,17.7,92.85
929,0.525,17.7,90.48
1114,0.525,17.7,88.39
1300,0.525,17.7,86.37
1486,0.525,17.7,84.13
1672,0.525,17.7,81.73
1858,0.525,17.7,79.62
2044,0.525,17.7,77.39
0,0.98,32.9,99.84
148,0.98,32.9,97.31
296,0.98,32.9,93.75
444,0.98,32.9,91.49
593,0.98,32.9,87.53
741,0.98,32.9,84.71
889,0.98,32.9,81.65
1037,0.98,32.9,78.13
1186,0.98,32.9,74.69
1334,0.98,32.9,71.33
1482,0.98,32.9,67.96
1631,0.98,32.9,64.39
0,0.569,39.4,99.72
108,0.569,39.4,98.09
216,0.569,39.4,96.81
324,0.569,39.4,94.76
432,0.569,39.4,92.79
540,0.569,39.4,90.55
648,0.569,39.4,88.87
756,0.569,39.4,86.45
864,0.569,39.4,84.58
972,0.569,39.4,82.99
1080,0.569,39.4,80.93
1188,0.569,39.4,78.24
0,0.496,29.8,100.0
152,0.496,29.8,97.46
304,0.496,29.8,96.23
456,0.496,29.8,93.6
608,0.496,29.8,91.78
760,0.496,29.8,89.76
912,0.496,29.8,87.61
1064,0.496,29.8,85.41
1216,0.496,29.8,83.44
1368,0.496,29.8,81.07
1520,0.496,29.8,78.55
1672,0.496,29.8,77.13
0,0.786,34.9,100.0
67,0.786,34.9,99.11
134,0.786,34.9,97.3
202,0.786,34.9,96.4
269,0.786,34.9,95.09
336,0.786,34.9,94.5
404,0.786,34.9,93.21
471,0.786,34.9,90.65
538,0.786,34.9,90.79
606,0.786,34.9,88.26
673,0.786,34.9,87.59
741,0.786,34.9,86.23
0,0.471,32.5,99.96
45,0.471,32.5,99.66
91,0.471,32.5,98.95
137,0.471,32.5,98.69
182,0.471,32.5,97.69
228,0.471,32.5,96.98
274,0.471,32.5,96.79
320,0.471,32.5,95.98
365,0.471,32.5,95.41
411,0.471,32.5,94.27
457,0.471,32.5,93.49
503,0.471,32.5,93.01
0,0.538,34.5,99.95
25,0.538,34.5,100.0
50,0.538,34.5,99.81
75,0.538,34.5,99.06
100,0.538,34.5,98.32
125,0.538,34.5,98.79
151,0.538,34.5,97.84
176,0.538,34.5,97.53
201,0.538,34.5,96.99
226,0.538,34.5,96.42
251,0.538,34.5,95.83
277,0.538,34.5,96.17
0,0.509,50.0,99.62
92,0.509,50.0,97.81
184,0.509,50.0,96.56
276,0.509,50.0,94.99
368,0.509,50.0,92.53
460,0.509,50.0,90.72
553,0.509,50.0,87.86
645,0.509,50.0,86.25
737,0.509,50.0,84.08
829,0.509,50.0,81.75
921,0.509,50.0,80.4
1014,0.509,50.0,77.48
0,0.412,25.2,100.0
198,0.412,25.2,98.06
396,0.412,25.2,96.07
594,0.412,25.2,93.77
792,0.412,25.2,91.62
990,0.412,25.2,88.9
1188,0.412,25.2,86.66
1386,0.412,25.2,84.38
1584,0.412,25.2,81.87
1782,0.412,25.2,79.29
1980,0.412,25.2,76.9
2178,0.412,25.2,74.31
0,0.726,28.3,99.77
35,0.726,28.3,99.3
70,0.726,28.3,98.6
105,0.726,28.3,98.85
140,0.726,28.3,98.0
175,0.726,28.3,97.14
211,0.726,28.3,97.17
246,0.726,28.3,96.14
281,0.726,28.3,95.3
316,0.726,28.3,95.6
351,0.726,28.3,94.5
387,0.726,28.3,93.97
0,0.657,37.0,99.58
187,0.657,37.0,97.04
374,0.657,37.0,93.31
561,0.657,37.0,90.69
748,0.657,37.0,86.51
935,0.657,37.0,82.16
1122,0.657,37.0,79.47
1309,0.657,37.0,76.4
1496,0.657,37.0,72.62
1683,0.657,37.0,69.03
1870,0.657,37.0,64.33
2058,0.657,37.0,61.27
0,0.52,30.6,99.55
102,0.52,30.6,98.5
204,0.52,30.6,97.12
306,0.52,30.6,96.26
408,0.52,30.6,94.8
510,0.52,30.6,93.17
612,0.52,30.6,91.14
714,0.52,30.6,90.02
816,0.52,30.6,88.39
918,0.52,30.6,87.46
1020,0.52,30.6,86.06
1122,0.52,30.6,84.51
0,0.514,10.0,100.0
57,0.514,10.0,99.42
114,0.514,10.0,98.83
172,0.514,10.0,99.18
229,0.514,10.0,98.56
287,0.514,10.0,97.62
344,0.514,10.0,97.01
402,0.514,10.0,96.56
459,0.514,10.0,96.17
517,0.514,10.0,96.13
574,0.514,10.0,95.21
632,0.514,10.0,94.79
0,0.86,20.8,100.0
149,0.86,20.8,97.87
299,0.86,20.8,94.92
448,0.86,20.8,92.83
598,0.86,20.8,90.94
747,0.86,20.8,89.2
897,0.86,20.8,86.72
1046,0.86,20.8,84.41
1196,0.86,20.8,82.67
1345,0.86,20.8,79.18
1495,0.86,20.8,77.22
1645,0.86,20.8,74.93
0,0.517,29.2,100.0
77,0.517,29.2,98.84
155,0.517,29.2,98.79
232,0.517,29.2,97.06
310,0.517,29.2,96.38
388,0.517,29.2,94.95
465,0.517,29.2,93.9
543,0.517,29.2,92.63
621,0.517,29.2,91.8
698,0.517,29.2,90.79
776,0.517,29.2,89.31
854,0.517,29.2,88.43
0,0.54,45.1,99.97
47,0.54,45.1,99.74
94,0.54,45.1,98.28
142,0.54,45.1,97.54
189,0.54,45.1,96.1
236,0.54,45.1,95.5
284,0.54,45.1,94.8
331,0.54,45.1,94.36
378,0.54,45.1,92.96
426,0.54,45.1,92.41
473,0.54,45.1,91.21
521,0.54,45.1,90.6
0,0.639,45.7,99.73
15,0.639,45.7,99.31
31,0.639,45.7,100.0
47,0.639,45.7,99.4
63,0.639,45.7,98.68
79,0.639,45.7,98.91
94,0.639,45.7,98.41
110,0.639,45.7,98.53
126,0.639,45.7,96.97
142,0.639,45.7,97.09
158,0.639,45.7,96.68
174,0.639,45.7,95.82
0,0.841,27.1,100.0
90,0.841,27.1,99.48
180,0.841,27.1,97.08
270,0.841,27.1,95.57
360,0.841,27.1,94.25
450,0.841,27.1,93.03
541,0.841,27.1,90.92
631,0.841,27.1,89.34
721,0.841,27.1,88.36
811,0.841,27.1,86.55
901,0.841,27.1,84.11
992,0.841,27.1,82.78
0,0.92,31.8,99.94
54,0.92,31.8,99.08
108,0.92,31.8,98.34
162,0.92,31.8,96.59
217,0.92,31.8,95.71
271,0.92,31.8,95.05
325,0.92,31.8,93.86
379,0.92,31.8,93.03
434,0.92,31.8,91.3
488,0.92,31.8,90.77
542,0.92,31.8,89.94
597,0.92,31.8,88.61
0,0.675,28.3,99.71
18,0.675,28.3,99.75
36,0.675,28.3,99.97
55,0.675,28.3,99.23
73,0.675,28.3,98.71
91,0.675,28.3,98.59
110,0.675,28.3,98.56
128,0.675,28.3,98.1
146,0.675,28.3,98.14
165,0.675,28.3,97.87
183,0.675,28.3,97.74
202,0.675,28.3,97.64
0,0.829,22.5,99.97
56,0.829,22.5,99.11
112,0.829,22.5,98.08
169,0.829,22.5,97.5
225,0.829,22.5,96.67
281,0.829,22.5,95.77
338,0.829,22.5,95.04
394,0.829,22.5,94.72
450,0.829,22.5,93.52
507,0.829,22.5,93.44
563,0.829,22.5,91.78
620,0.829,22.5,90.73
0,0.651,30.8,100.0
109,0.651,30.8,99.18
218,0.651,30.8,96.5
327,0.651,30.8,95.4
436,0.651,30.8,93.44
545,0.651,30.8,91.07
654,0.651,30.8,90.12
763,0.651,30.8,88.51
872,0.651,30.8,85.97
981,0.651,30.8,84.46
1090,0.651,30.8,82.04
1200,0.651,30.8,80.36
0,0.839,25.7,100.0
97,0.839,25.7,98.4
194,0.839,25.7,96.9
292,0.839,25.7,95.76
389,0.839,25.7,93.51
487,0.839,25.7,91.98
584,0.839,25.7,90.73
682,0.839,25.7,89.37
779,0.839,25.7,87.82
877,0.839,25.7,85.48
974,0.839,25.7,84.38
1072,0.839,25.7,82.09
0,0.979,21.1,100.0
67,0.979,21.1,98.82
135,0.979,21.1,98.72
202,0.979,21.1,97.17
270,0.979,21.1,95.53
337,0.979,21.1,94.62
405,0.979,21.1,93.97
472,0.979,21.1,92.97
540,0.979,21.1,91.45
607,0.979,21.1,90.38
