vehicle_id,cycle_count,avg_depth_of_discharge,avg_operating_temp_c,soh_percent
VEH-1015,348,0.82,36.4,93.3
VEH-1015,354,0.82,36.4,93.41
VEH-1015,360,0.82,36.4,92.99
VEH-1015,366,0.82,36.4,93.33
VEH-1016,0,0.58,28.2,100.0
VEH-1016,7,0.58,28.2,100.0
VEH-1016,14,0.58,28.2,100.0
VEH-1016,21,0.58,28.2,100.0
VEH-1016,28,0.58,28.2,99.6
VEH-1016,35,0.58,28.2,98.88
VEH-1016,42,0.58,28.2,100.0
VEH-1016,49,0.58,28.2,99.25
VEH-1016,56,0.58,28.2,99.36
VEH-1016,63,0.58,28.2,99.69
VEH-1016,70,0.58,28.2,98.58
VEH-1016,77,0.58,28.2,98.61
VEH-1016,84,0.58,28.2,98.39
VEH-1016,91,0.58,28.2,98.59
VEH-1016,98,0.58,28.2,98.93
VEH-1016,105,0.58,28.2,98.86
VEH-1016,112,0.58,28.2,98.68
VEH-1016,119,0.58,28.2,98.0
VEH-1016,126,0.58,28.2,97.59
VEH-1016,133,0.58,28.2,98.33
VEH-1016,140,0.58,28.2,98.05
VEH-1016,147,0.58,28.2,98.28
VEH-1016,154,0.58,28.2,98.27
VEH-1016,161,0.58,28.2,97.98
VEH-1016,168,0.58,28.2,98.1
VEH-1016,175,0.58,28.2,97.82
VEH-1016,182,0.58,28.2,97.83
VEH-1016,189,0.58,28.2,97.3
VEH-1016,196,0.58,28.2,97.39
VEH-1016,203,0.58,28.2,97.43
VEH-1016,210,0.58,28.2,97.55
VEH-1016,217,0.58,28.2,97.03
VEH-1016,224,0.58,28.2,97.26
VEH-1016,231,0.58,28.2,96.88
VEH-1016,238,0.58,28.2,96.84
VEH-1016,245,0.58,28.2,97.07
VEH-1016,252,0.58,28.2,95.99
VEH-1016,259,0.58,28.2,96.14
VEH-1016,266,0.58,28.2,95.98
VEH-1016,273,0.58,28.2,95.58
VEH-1016,280,0.58,28.2,96.06
VEH-1016,287,0.58,28.2,96.47
VEH-1016,294,0.58,28.2,96.01
VEH-1016,301,0.58,28.2,96.08
VEH-1016,308,0.58,28.2,96.29
VEH-1016,315,0.58,28.2,96.28
VEH-1016,322,0.58,28.2,95.69
VEH-1016,329,0.58,28.2,96.09
VEH-1016,336,0.58,28.2,95.55
VEH-1016,343,0.58,28.2,95.13
VEH-1016,350,0.58,28.2,95.12
VEH-1016,357,0.58,28.2,94.71
VEH-1016,364,0.58,28.2,94.82
VEH-1016,371,0.58,28.2,94.9
VEH-1016,378,0.58,28.2,95.21
VEH-1016,385,0.58,28.2,95.43
VEH-1016,392,0.58,28.2,94.25
VEH-1016,399,0.58,28.2,94.77
VEH-1016,406,0.58,28.2,94.17
VEH-1016,413,0.58,28.2,94.6
VEH-1016,420,0.58,28.2,94.29
VEH-1016,427,0.58,28.2,93.6
VEH-1016,434,0.58,28.2,94.46
VEH-1016,441,0.58,28.2,93.83
VEH-1016,448,0.58,28.2,93.75
VEH-1016,455,0.58,28.2,93.47
VEH-1016,462,0.58,28.2,93.51
VEH-1016,469,0.58,28.2,93.79
VEH-1017,0,0.68,21.9,99.93
VEH-1017,11,0.68,21.9,100.0
VEH-1017,22,0.68,21.9,99.88
VEH-1017,33,0.68,21.9,100.0
VEH-1017,44,0.68,21.9,99.38
VEH-1017,55,0.68,21.9,98.85
VEH-1017,66,0.68,21.9,99.61
VEH-1017,77,0.68,21.9,98.98
VEH-1017,88,0.68,21.9,99.35
VEH-1017,99,0.68,21.9,98.96
VEH-1017,110,0.68,21.9,98.64
VEH-1017,121,0.68,21.9,98.67
VEH-1017,132,0.68,21.9,99.09
VEH-1017,143,0.68,21.9,99.0
VEH-1017,154,0.68,21.9,98.15
VEH-1017,165,0.68,21.9,98.05
VEH-1017,176,0.68,21.9,98.23
VEH-1017,187,0.68,21.9,97.41
VEH-1017,198,0.68,21.9,97.68
VEH-1017,209,0.68,21.9,97.41
VEH-1017,220,0.68,21.9,97.39
VEH-1017,231,0.68,21.9,96.85
VEH-1017,242,0.68,21.9,96.44
VEH-1017,253,0.68,21.9,96.13
VEH-1017,264,0.68,21.9,96.32
VEH-1017,275,0.68,21.9,96.4
VEH-1017,286,0.68,21.9,96.32
VEH-1017,297,0.68,21.9,96.95
VEH-1017,308,0.68,21.9,96.52
VEH-1017,319,0.68,21.9,95.65
VEH-1017,330,0.68,21.9,95.96
VEH-1017,341,0.68,21.9,95.55
VEH-1017,352,0.68,21.9,95.45
VEH-1017,363,0.68,21.9,95.47
VEH-1017,374,0.68,21.9,95.47
VEH-1017,385,0.68,21.9,94.99
VEH-1017,396,0.68,21.9,95.33
VEH-1017,407,0.68,21.9,94.41
VEH-1017,418,0.68,21.9,94.67
VEH-1017,429,0.68,21.9,95.43
VEH-1017,440,0.68,21.9,94.45
VEH-1017,451,0.68,21.9,94.72
VEH-1017,462,0.68,21.9,94.11
VEH-1017,473,0.68,21.9,94.13
VEH-1017,484,0.68,21.9,93.76
VEH-1017,495,0.68,21.9,93.57
VEH-1017,506,0.68,21.9,93.21
VEH-1017,517,0.68,21.9,93.48
VEH-1017,528,0.68,21.9,92.88
VEH-1017,539,0.68,21.9,93.27
VEH-1017,550,0.68,21.9,93.26
VEH-1017,561,0.68,21.9,92.86
VEH-1017,572,0.68,21.9,92.49
VEH-1017,583,0.68,21.9,92.59
VEH-1017,594,0.68,21.9,92.18
VEH-1017,605,0.68,21.9,92.46
VEH-1017,616,0.68,21.9,91.34
VEH-1017,627,0.68,21.9,91.72
VEH-1017,638,0.68,21.9,90.99
VEH-1017,649,0.68,21.9,91.01
VEH-1017,660,0.68,21.9,91.86
VEH-1017,671,0.68,21.9,91.55
VEH-1017,682,0.68,21.9,90.83
VEH-1017,693,0.68,21.9,90.4
VEH-1018,0,0.55,28.2,98.96
VEH-1018,6,0.55,28.2,99.75
VEH-1018,12,0.55,28.2,100.0
VEH-1018,18,0.55,28.2,99.95
VEH-1018,24,0.55,28.2,99.53
VEH-1018,30,0.55,28.2,99.82
VEH-1018,36,0.55,28.2,99.04
VEH-1018,42,0.55,28.2,99.4
VEH-1018,48,0.55,28.2,99.47
VEH-1018,54,0.55,28.2,99.33
VEH-1018,60,0.55,28.2,99.56
VEH-1018,66,0.55,28.2,99.33
VEH-1018,72,0.55,28.2,99.37
VEH-1018,78,0.55,28.2,98.82
VEH-1018,84,0.55,28.2,99.3
VEH-1018,90,0.55,28.2,99.48
VEH-1018,96,0.55,28.2,98.49
VEH-1018,102,0.55,28.2,98.44
VEH-1018,108,0.55,28.2,99.14
VEH-1018,114,0.55,28.2,98.53
VEH-1018,120,0.55,28.2,99.01
VEH-1018,126,0.55,28.2,98.29
VEH-1018,132,0.55,28.2,98.87
VEH-1018,138,0.55,28.2,98.33
VEH-1018,144,0.55,28.2,98.3
VEH-1018,150,0.55,28.2,98.68
VEH-1018,156,0.55,28.2,97.92
VEH-1018,162,0.55,28.2,97.64
VEH-1018,168,0.55,28.2,97.74
VEH-1018,174,0.55,28.2,97.97
VEH-1018,180,0.55,28.2,97.19
VEH-1018,186,0.55,28.2,97.88
VEH-1018,192,0.55,28.2,97.39
VEH-1018,198,0.55,28.2,97.9
VEH-1018,204,0.55,28.2,96.58
VEH-1018,210,0.55,28.2,97.06
VEH-1018,216,0.55,28.2,96.67
VEH-1018,222,0.55,28.2,96.89
VEH-1018,228,0.55,28.2,97.18
VEH-1018,234,0.55,28.2,96.95
VEH-1018,240,0.55,28.2,96.85
VEH-1018,246,0.55,28.2,96.8
VEH-1018,252,0.55,28.2,96.85
VEH-1018,258,0.55,28.2,96.34
VEH-1018,264,0.55,28.2,96.86
VEH-1018,270,0.55,28.2,96.77
VEH-1018,276,0.55,28.2,96.59
VEH-1018,282,0.55,28.2,96.57
VEH-1018,288,0.55,28.2,96.39
VEH-1018,294,0.55,28.2,96.92
VEH-1018,300,0.55,28.2,96.1
VEH-1018,306,0.55,28.2,95.94
VEH-1018,312,0.55,28.2,95.7
VEH-1018,318,0.55,28.2,95.52
VEH-1018,324,0.55,28.2,95.37
VEH-1018,330,0.55,28.2,95.41
VEH-1018,336,0.55,28.2,95.61
VEH-1018,342,0.55,28.2,95.67
VEH-1018,348,0.55,28.2,95.49
VEH-1018,354,0.55,28.2,95.13
VEH-1018,360,0.55,28.2,95.63
VEH-1018,366,0.55,28.2,95.49
VEH-1018,372,0.55,28.2,95.09
VEH-1019,0,0.53,31.2,99.77
VEH-1019,20,0.53,31.2,99.96
VEH-1019,40,0.53,31.2,99.58
VEH-1019,60,0.53,31.2,98.74
VEH-1019,80,0.53,31.2,98.96
VEH-1019,100,0.53,31.2,98.81
VEH-1019,120,0.53,31.2,98.13
VEH-1019,140,0.53,31.2,98.24
VEH-1019,160,0.53,31.2,97.39
VEH-1019,180,0.53,31.2,98.09
VEH-1019,200,0.53,31.2,97.78
VEH-1019,220,0.53,31.2,96.98
VEH-1019,240,0.53,31.2,96.91
VEH-1019,260,0.53,31.2,95.66
VEH-1019,280,0.53,31.2,95.82
VEH-1019,300,0.53,31.2,95.83
VEH-1019,320,0.53,31.2,95.28
VEH-1019,340,0.53,31.2,95.62
VEH-1019,360,0.53,31.2,95.78
VEH-1019,380,0.53,31.2,94.38
VEH-1019,400,0.53,31.2,94.21
VEH-1019,420,0.53,31.2,94.3
VEH-1019,440,0.53,31.2,94.49
VEH-1019,460,0.53,31.2,93.21
VEH-1019,480,0.53,31.2,93.43
VEH-1019,500,0.53,31.2,93.69
VEH-1019,520,0.53,31.2,92.18
VEH-1019,540,0.53,31.2,92.02
VEH-1019,560,0.53,31.2,92.03
VEH-1019,580,0.53,31.2,91.7
VEH-1019,600,0.53,31.2,91.87
VEH-1019,620,0.53,31.2,91.38
VEH-1019,640,0.53,31.2,90.38
VEH-1019,660,0.53,31.2,90.88
VEH-1019,680,0.53,31.2,90.2
VEH-1019,700,0.53,31.2,90.56
VEH-1019,720,0.53,31.2,89.59
VEH-1019,740,0.53,31.2,89.29
VEH-1019,760,0.53,31.2,89.41
VEH-1019,780,0.53,31.2,89.19
VEH-1019,800,0.53,31.2,88.78
VEH-1019,820,0.53,31.2,87.73
VEH-1019,840,0.53,31.2,88.21
VEH-1019,860,0.53,31.2,87.36
VEH-1019,880,0.53,31.2,87.51
VEH-1019,900,0.53,31.2,86.62
VEH-1019,920,0.53,31.2,86.98
VEH-1019,940,0.53,31.2,86.24
VEH-1019,960,0.53,31.2,85.77
VEH-1019,980,0.53,31.2,86.17
VEH-1019,1000,0.53,31.2,85.7
VEH-1019,1020,0.53,31.2,85.1
VEH-1019,1040,0.53,31.2,85.52
VEH-1019,1060,0.53,31.2,84.55
VEH-1019,1080,0.53,31.2,84.42
VEH-1019,1100,0.53,31.2,84.2
VEH-1019,1120,0.53,31.2,83.58
VEH-1019,1140,0.53,31.2,83.66
VEH-1019,1160,0.53,31.2,83.0
VEH-1019,1180,0.53,31.2,82.74
VEH-1019,1200,0.53,31.2,83.06
VEH-1019,1220,0.53,31.2,81.91
VEH-1019,1240,0.53,31.2,81.13
VEH-1020,0,0.78,29.5,100.0
VEH-1020,7,0.78,29.5,100.0
VEH-1020,14,0.78,29.5,99.67
VEH-1020,21,0.78,29.5,99.03
VEH-1020,28,0.78,29.5,99.49
VEH-1020,35,0.78,29.5,99.39
VEH-1020,42,0.78,29.5,99.32
VEH-1020,49,0.78,29.5,98.89
VEH-1020,56,0.78,29.5,99.38
VEH-1020,63,0.78,29.5,99.25
VEH-1020,70,0.78,29.5,98.43
VEH-1020,77,0.78,29.5,99.09
VEH-1020,84,0.78,29.5,99.45
VEH-1020,91,0.78,29.5,98.68
VEH-1020,98,0.78,29.5,98.39
VEH-1020,105,0.78,29.5,98.35
VEH-1020,112,0.78,29.5,98.5
VEH-1020,119,0.78,29.5,97.57
VEH-1020,126,0.78,29.5,98.12
VEH-1020,133,0.78,29.5,97.81
VEH-1020,140,0.78,29.5,98.48
VEH-1020,147,0.78,29.5,97.66
VEH-1020,154,0.78,29.5,98.19
VEH-1020,161,0.78,29.5,97.11
VEH-1020,168,0.78,29.5,97.58
VEH-1020,175,0.78,29.5,97.37
VEH-1020,182,0.78,29.5,96.84
VEH-1020,189,0.78,29.5,97.09
VEH-1020,196,0.78,29.5,97.34
VEH-1020,203,0.78,29.5,96.69
VEH-1020,210,0.78,29.5,96.09
VEH-1020,217,0.78,29.5,96.56
VEH-1020,224,0.78,29.5,96.14
VEH-1020,231,0.78,29.5,96.22
VEH-1020,238,0.78,29.5,96.19
VEH-1020,245,0.78,29.5,95.5
VEH-1020,252,0.78,29.5,95.42
VEH-1020,259,0.78,29.5,96.04
VEH-1020,266,0.78,29.5,95.57
VEH-1020,273,0.78,29.5,94.73
VEH-1020,280,0.78,29.5,95.79
VEH-1020,287,0.78,29.5,95.49
VEH-1020,294,0.78,29.5,95.03
VEH-1020,301,0.78,29.5,94.7
VEH-1020,308,0.78,29.5,95.34
VEH-1020,315,0.78,29.5,95.05
VEH-1020,322,0.78,29.5,95.64
VEH-1020,329,0.78,29.5,94.83
VEH-1020,336,0.78,29.5,94.7
VEH-1020,343,0.78,29.5,94.39
VEH-1020,350,0.78,29.5,94.62
VEH-1020,357,0.78,29.5,94.43
VEH-1020,364,0.78,29.5,94.53
VEH-1020,371,0.78,29.5,93.79
VEH-1020,378,0.78,29.5,93.7
VEH-1020,385,0.78,29.5,93.57
VEH-1020,392,0.78,29.5,93.89
VEH-1020,399,0.78,29.5,94.02
VEH-1020,406,0.78,29.5,93.21
VEH-1020,413,0.78,29.5,93.11
VEH-1020,420,0.78,29.5,93.24
VEH-1020,427,0.78,29.5,92.93
VEH-1020,434,0.78,29.5,93.23
VEH-1020,441,0.78,29.5,91.99
VEH-1020,448,0.78,29.5,92.36
VEH-1020,455,0.78,29.5,92.26
VEH-1020,462,0.78,29.5,91.6
VEH-1021,0,0.51,26.7,99.66
VEH-1021,19,0.51,26.7,99.48
VEH-1021,38,0.51,26.7,99.52
VEH-1021,57,0.51,26.7,99.76
VEH-1021,76,0.51,26.7,99.06
VEH-1021,95,0.51,26.7,98.56
VEH-1021,114,0.51,26.7,98.67
VEH-1021,133,0.51,26.7,98.83
VEH-1021,152,0.51,26.7,97.89
VEH-1021,171,0.51,26.7,97.68
VEH-1021,190,0.51,26.7,97.96
VEH-1021,209,0.51,26.7,97.45
VEH-1021,228,0.51,26.7,97.52
VEH-1021,247,0.51,26.7,97.05
VEH-1021,266,0.51,26.7,97.07
VEH-1021,285,0.51,26.7,96.22
VEH-1021,304,0.51,26.7,96.34
VEH-1021,323,0.51,26.7,96.03
VEH-1021,342,0.51,26.7,95.43
VEH-1021,361,0.51,26.7,95.07
VEH-1021,380,0.51,26.7,95.62
VEH-1021,399,0.51,26.7,95.01
VEH-1021,418,0.51,26.7,94.53
VEH-1021,437,0.51,26.7,94.61
VEH-1021,456,0.51,26.7,94.79
VEH-1021,475,0.51,26.7,93.36
VEH-1021,494,0.51,26.7,93.38
VEH-1021,513,0.51,26.7,93.34
VEH-1021,532,0.51,26.7,93.93
VEH-1021,551,0.51,26.7,93.27
VEH-1021,570,0.51,26.7,93.19
VEH-1021,589,0.51,26.7,92.27
VEH-1021,608,0.51,26.7,92.03
VEH-1021,627,0.51,26.7,92.33
VEH-1021,646,0.51,26.7,91.95
VEH-1021,665,0.51,26.7,91.87
VEH-1021,684,0.51,26.7,91.36
VEH-1021,703,0.51,26.7,91.27
VEH-1021,722,0.51,26.7,90.98
VEH-1021,741,0.51,26.7,90.95
VEH-1021,760,0.51,26.7,90.71
VEH-1021,779,0.51,26.7,89.61
VEH-1021,798,0.51,26.7,89.13
VEH-1021,817,0.51,26.7,90.02
VEH-1021,836,0.51,26.7,89.83
VEH-1021,855,0.51,26.7,88.81
VEH-1021,874,0.51,26.7,88.26
VEH-1021,893,0.51,26.7,88.69
VEH-1021,912,0.51,26.7,88.73
VEH-1021,931,0.51,26.7,88.78
VEH-1021,950,0.51,26.7,88.08
VEH-1021,969,0.51,26.7,87.51
VEH-1021,988,0.51,26.7,87.08
VEH-1021,1007,0.51,26.7,87.14
VEH-1021,1026,0.51,26.7,86.77
VEH-1021,1045,0.51,26.7,86.27
VEH-1021,1064,0.51,26.7,87.08
VEH-1021,1083,0.51,26.7,86.74
VEH-1021,1102,0.51,26.7,86.25
VEH-1021,1121,0.51,26.7,85.28
VEH-1021,1140,0.51,26.7,85.64
VEH-1021,1159,0.51,26.7,85.31
VEH-1021,1178,0.51,26.7,84.98
VEH-1022,0,0.64,37.6,100.0
VEH-1022,6,0.64,37.6,100.0
VEH-1022,12,0.64,37.6,100.0
VEH-1022,18,0.64,37.6,99.95
VEH-1022,24,0.64,37.6,99.76
VEH-1022,30,0.64,37.6,98.92
VEH-1022,36,0.64,37.6,99.47
VEH-1022,42,0.64,37.6,99.15
VEH-1022,48,0.64,37.6,98.8
VEH-1022,54,0.64,37.6,99.74
VEH-1022,60,0.64,37.6,99.65
VEH-1022,66,0.64,37.6,99.42
VEH-1022,72,0.64,37.6,98.94
VEH-1022,78,0.64,37.6,99.22
VEH-1022,84,0.64,37.6,98.65
VEH-1022,90,0.64,37.6,98.61
VEH-1022,96,0.64,37.6,98.06
VEH-1022,102,0.64,37.6,98.48
VEH-1022,108,0.64,37.6,98.25
VEH-1022,114,0.64,37.6,97.67
VEH-1022,120,0.64,37.6,98.01
VEH-1022,126,0.64,37.6,97.9
VEH-1022,132,0.64,37.6,98.45
VEH-1022,138,0.64,37.6,98.03
VEH-1022,144,0.64,37.6,97.61
VEH-1022,150,0.64,37.6,97.59
VEH-1022,156,0.64,37.6,97.42
VEH-1022,162,0.64,37.6,97.23
VEH-1022,168,0.64,37.6,96.81
VEH-1022,174,0.64,37.6,97.03
VEH-1022,180,0.64,37.6,96.72
VEH-1022,186,0.64,37.6,96.44
VEH-1022,192,0.64,37.6,96.95
VEH-1022,198,0.64,37.6,96.8
VEH-1022,204,0.64,37.6,95.93
VEH-1022,210,0.64,37.6,96.41
VEH-1022,216,0.64,37.6,96.69
VEH-1022,222,0.64,37.6,96.61
VEH-1022,228,0.64,37.6,96.49
VEH-1022,234,0.64,37.6,96.04
VEH-1022,240,0.64,37.6,95.62
VEH-1022,246,0.64,37.6,95.43
VEH-1022,252,0.64,37.6,95.82
VEH-1022,258,0.64,37.6,95.73
VEH-1022,264,0.64,37.6,95.94
VEH-1022,270,0.64,37.6,95.76
VEH-1022,276,0.64,37.6,95.22
VEH-1022,282,0.64,37.6,94.73
VEH-1022,288,0.64,37.6,94.94
VEH-1022,294,0.64,37.6,95.02
VEH-1022,300,0.64,37.6,94.77
VEH-1022,306,0.64,37.6,94.53
VEH-1022,312,0.64,37.6,94.71
VEH-1022,318,0.64,37.6,94.33
VEH-1022,324,0.64,37.6,94.18
VEH-1022,330,0.64,37.6,94.4
VEH-1022,336,0.64,37.6,94.04
VEH-1022,342,0.64,37.6,94.16
VEH-1022,348,0.64,37.6,94.06
VEH-1022,354,0.64,37.6,93.46
VEH-1022,360,0.64,37.6,93.58
VEH-1022,366,0.64,37.6,94.14
VEH-1022,372,0.64,37.6,93.12
VEH-1022,378,0.64,37.6,92.68
VEH-1022,384,0.64,37.6,92.66
VEH-1022,390,0.64,37.6,93.21
VEH-1022,396,0.64,37.6,93.1
VEH-1022,402,0.64,37.6,92.94
VEH-1023,0,0.6,34.7,100.0
VEH-1023,8,0.6,34.7,98.96
VEH-1023,16,0.6,34.7,99.92
VEH-1023,24,0.6,34.7,100.0
VEH-1023,32,0.6,34.7,99.16
VEH-1023,40,0.6,34.7,99.3
VEH-1023,48,0.6,34.7,99.05
VEH-1023,56,0.6,34.7,98.88
VEH-1023,64,0.6,34.7,98.96
VEH-1023,72,0.6,34.7,99.45
VEH-1023,80,0.6,34.7,99.48
VEH-1023,88,0.6,34.7,98.59
VEH-1023,96,0.6,34.7,99.25
VEH-1023,104,0.6,34.7,98.47
VEH-1023,112,0.6,34.7,98.95
VEH-1023,120,0.6,34.7,98.18
VEH-1023,128,0.6,34.7,98.13
VEH-1023,136,0.6,34.7,98.09
VEH-1023,144,0.6,34.7,98.95
VEH-1023,152,0.6,34.7,98.01
VEH-1023,160,0.6,34.7,97.33
VEH-1023,168,0.6,34.7,97.79
VEH-1023,176,0.6,34.7,97.2
VEH-1023,184,0.6,34.7,97.03
VEH-1023,192,0.6,34.7,97.39
VEH-1023,200,0.6,34.7,96.96
VEH-1023,208,0.6,34.7,96.91
VEH-1023,216,0.6,34.7,96.69
VEH-1023,224,0.6,34.7,96.68
VEH-1023,232,0.6,34.7,96.58
VEH-1023,240,0.6,34.7,95.62
VEH-1023,248,0.6,34.7,96.4
VEH-1023,256,0.6,34.7,95.7
VEH-1023,264,0.6,34.7,95.41
VEH-1023,272,0.6,34.7,95.76
VEH-1023,280,0.6,34.7,95.68
VEH-1023,288,0.6,34.7,95.28
VEH-1023,296,0.6,34.7,95.68
VEH-1023,304,0.6,34.7,94.79
VEH-1023,312,0.6,34.7,94.98
VEH-1023,320,0.6,34.7,94.79
VEH-1023,328,0.6,34.7,94.85
VEH-1023,336,0.6,34.7,94.83
VEH-1023,344,0.6,34.7,94.25
VEH-1023,352,0.6,34.7,94.72
VEH-1023,360,0.6,34.7,94.36
VEH-1023,368,0.6,34.7,93.54
VEH-1023,376,0.6,34.7,93.39
VEH-1023,384,0.6,34.7,93.93
VEH-1023,392,0.6,34.7,93.73
VEH-1023,400,0.6,34.7,93.64
VEH-1023,408,0.6,34.7,93.53
VEH-1023,416,0.6,34.7,93.49
VEH-1023,424,0.6,34.7,93.61
VEH-1023,432,0.6,34.7,92.75
VEH-1023,440,0.6,34.7,92.6
VEH-1023,448,0.6,34.7,92.49
VEH-1023,456,0.6,34.7,92.84
VEH-1023,464,0.6,34.7,93.04
VEH-1023,472,0.6,34.7,92.32
VEH-1023,480,0.6,34.7,91.46
VEH-1023,488,0.6,34.7,91.61
VEH-1023,496,0.6,34.7,91.78
VEH-1023,504,0.6,34.7,91.74
VEH-1023,512,0.6,34.7,91.66
VEH-1024,0,0.49,28.4,100.0
VEH-1024,17,0.49,28.4,99.71
VEH-1024,34,0.49,28.4,99.99
VEH-1024,51,0.49,28.4,99.19
VEH-1024,68,0.49,28.4,98.92
VEH-1024,85,0.49,28.4,99.19
VEH-1024,102,0.49,28.4,98.28
VEH-1024,119,0.49,28.4,98.74
VEH-1024,136,0.49,28.4,98.43
VEH-1024,153,0.49,28.4,98.14
VEH-1024,170,0.49,28.4,98.53
VEH-1024,187,0.49,28.4,97.54
VEH-1024,204,0.49,28.4,98.27
VEH-1024,221,0.49,28.4,97.25
VEH-1024,238,0.49,28.4,96.67
VEH-1024,255,0.49,28.4,96.93
VEH-1024,272,0.49,28.4,96.31
VEH-1024,289,0.49,28.4,96.2
VEH-1024,306,0.49,28.4,96.39
VEH-1024,323,0.49,28.4,96.22
VEH-1024,340,0.49,28.4,95.59
VEH-1024,357,0.49,28.4,95.93
VEH-1024,374,0.49,28.4,95.77
VEH-1024,391,0.49,28.4,95.65
VEH-1024,408,0.49,28.4,95.11
VEH-1024,425,0.49,28.4,95.18
VEH-1024,442,0.49,28.4,93.82
VEH-1024,459,0.49,28.4,94.14
VEH-1024,476,0.49,28.4,93.73
VEH-1024,493,0.49,28.4,93.85
VEH-1024,510,0.49,28.4,93.38
VEH-1024,527,0.49,28.4,93.3
VEH-1024,544,0.49,28.4,93.79
VEH-1024,561,0.49,28.4,92.85
VEH-1024,578,0.49,28.4,92.83
VEH-1024,595,0.49,28.4,92.37
VEH-1024,612,0.49,28.4,92.26
VEH-1024,629,0.49,28.4,92.0
VEH-1024,646,0.49,28.4,91.93
VEH-1024,663,0.49,28.4,91.96
VEH-1024,680,0.49,28.4,91.9
VEH-1024,697,0.49,28.4,91.2
VEH-1024,714,0.49,28.4,91.07
VEH-1024,731,0.49,28.4,90.23
VEH-1024,748,0.49,28.4,90.38
VEH-1024,765,0.49,28.4,90.51
VEH-1024,782,0.49,28.4,90.25
VEH-1024,799,0.49,28.4,89.79
VEH-1024,816,0.49,28.4,89.8
VEH-1024,833,0.49,28.4,89.43
VEH-1024,850,0.49,28.4,89.45
VEH-1024,867,0.49,28.4,88.9
VEH-1024,884,0.49,28.4,88.44
VEH-1024,901,0.49,28.4,88.45
VEH-1024,918,0.49,28.4,87.08
VEH-1024,935,0.49,28.4,88.01
VEH-1024,952,0.49,28.4,86.36
VEH-1024,969,0.49,28.4,86.81
VEH-1024,986,0.49,28.4,87.34
VEH-1024,1003,0.49,28.4,87.11
VEH-1024,1020,0.49,28.4,86.31
VEH-1024,1037,0.49,28.4,86.23
VEH-1025,0,0.75,23.8,100.0
VEH-1025,19,0.75,23.8,99.6
VEH-1025,38,0.75,23.8,100.0
VEH-1025,57,0.75,23.8,99.27
VEH-1025,76,0.75,23.8,99.16
VEH-1025,95,0.75,23.8,99.32
VEH-1025,114,0.75,23.8,98.54
VEH-1025,133,0.75,23.8,97.88
VEH-1025,152,0.75,23.8,97.93
VEH-1025,171,0.75,23.8,97.69
VEH-1025,190,0.75,23.8,96.95
VEH-1025,209,0.75,23.8,97.07
VEH-1025,228,0.75,23.8,96.63
VEH-1025,247,0.75,23.8,96.94
VEH-1025,266,0.75,23.8,96.35
VEH-1025,285,0.75,23.8,95.97
