mileage,vehicle_age,engine_hours,battery_health,maintenance_frequency,downtime,operating_conditions,failure
324540.3,69.4,10824.5,73.17,2,80.5,Normal,1
162531.7,16.1,4806.6,100.0,4,24.3,Severe,0
280341.1,67.7,11305.4,73.98,2,82.8,Normal,1
136495.4,32.9,5098.6,88.54,6,14.8,Normal,0
443650.7,60.5,9878.4,84.21,5,72.2,Severe,0
129773.8,30.9,4742.2,86.15,5,30.3,Normal,0
370532.3,107.7,11778.9,68.87,2,107.7,Normal,1
273787.0,43.3,7780.6,86.47,4,52.0,Extreme,1
327000.1,65.7,13181.9,76.41,6,67.5,Severe,1
432345.1,88.7,13811.6,75.29,2,105.7,Normal,1
50857.2,86.2,2180.5,68.81,1,58.0,Severe,0
210424.5,83.9,5012.4,77.29,6,60.0,Normal,0
398321.2,39.7,13020.8,84.32,3,72.0,Normal,1
316989.7,80.2,7824.6,70.9,1,88.4,Normal,1
151349.3,9.9,4507.6,99.86,6,18.7,Normal,0
169408.4,72.1,3759.8,68.58,4,61.1,Severe,0
332800.5,69.1,8757.9,75.63,6,66.2,Severe,1
283918.7,31.4,10484.9,84.4,4,57.6,Severe,1
106044.1,79.8,3482.0,76.46,4,54.0,Extreme,1
442390.1,50.0,15000.0,75.81,1,100.3,Severe,1
186134.7,21.9,4710.9,86.77,3,35.3,Severe,0
325242.4,47.9,7363.5,80.98,4,67.1,Severe,0
144286.0,27.9,3872.9,85.43,2,33.1,Normal,0
295641.2,11.2,7214.7,98.45,4,39.1,Extreme,1
174562.2,37.8,5472.6,85.56,1,53.5,Normal,1
171384.5,20.2,5816.6,99.66,2,28.7,Extreme,0
21112.1,17.4,1097.8,91.62,1,13.1,Normal,0
163149.3,15.7,6416.4,89.97,3,20.3,Normal,0
224579.0,17.3,8324.9,95.93,1,44.4,Severe,0
181367.3,64.6,3975.3,79.59,2,61.5,Severe,0
170234.8,47.5,4833.4,82.74,6,38.9,Extreme,1
226720.5,39.4,5616.9,92.12,6,47.7,Normal,0
25910.5,26.4,933.8,94.19,1,17.2,Normal,0
109206.7,71.3,4484.9,73.47,1,53.7,Severe,0
69147.2,112.4,2287.8,63.75,5,75.9,Normal,1
362071.0,79.9,8048.9,75.65,2,94.2,Severe,1
307454.2,96.1,8980.0,60.92,1,95.4,Severe,1
69336.7,70.2,2531.8,66.35,1,64.3,Extreme,0
244309.1,52.1,5644.7,86.47,4,58.4,Extreme,0
348340.2,95.0,10866.1,63.11,5,87.1,Normal,1
142227.4,43.4,3994.4,78.06,3,45.6,Severe,0
190377.6,12.1,4592.0,88.09,4,16.6,Normal,0
178662.2,45.2,3994.8,82.14,5,47.3,Severe,0
439582.9,19.0,14550.1,95.65,3,67.9,Normal,0
246745.1,85.9,5674.3,62.97,6,69.5,Normal,0
410617.5,65.2,10055.6,79.26,1,106.1,Extreme,1
89722.2,29.6,2847.7,86.3,1,25.4,Severe,0
134314.8,93.7,4679.7,63.89,3,79.7,Severe,1
45891.0,36.4,1378.2,85.53,2,37.7,Severe,0
58013.6,7.3,1641.2,100.0,1,27.6,Normal,0
274484.1,92.2,10105.2,69.96,5,72.2,Normal,1
322446.9,41.3,7912.3,80.69,6,56.0,Normal,1
150883.0,46.9,5778.0,83.62,1,60.9,Normal,0
331305.0,15.0,9500.1,94.07,3,43.0,Normal,1
371584.2,25.6,12832.4,92.28,4,50.3,Severe,0
198479.7,11.1,5804.9,91.04,2,32.2,Normal,0
89453.0,66.2,1991.3,80.14,6,33.8,Normal,0
53283.4,98.2,2398.8,64.89,3,64.0,Severe,1
293231.4,72.6,6816.4,62.54,2,81.8,Normal,1
308828.9,76.2,12415.5,72.52,2,88.9,Extreme,0
249524.1,9.0,8757.4,98.2,2,43.7,Extreme,1
170398.1,56.6,3733.0,78.88,5,36.9,Severe,0
47705.8,99.2,1546.2,68.74,6,47.6,Normal,0
93317.6,63.9,3903.3,79.75,1,56.0,Normal,0
440834.2,78.4,13013.2,62.84,5,94.7,Normal,1
22935.2,96.7,561.9,65.65,2,56.1,Extreme,1
224295.4,37.3,5187.5,82.9,4,49.6,Extreme,0
34249.8,35.2,841.2,93.79,1,34.6,Severe,0
305990.9,82.0,12148.8,74.72,3,84.4,Normal,1
107680.3,65.6,4578.0,80.39,1,62.7,Severe,0
440560.9,34.6,11377.5,88.74,2,79.6,Normal,1
181522.4,27.0,4418.5,81.66,6,17.8,Severe,0
440016.0,23.5,13026.3,93.9,4,64.2,Normal,1
299254.2,11.4,8944.8,94.74,6,26.0,Severe,0
326764.2,16.8,10849.7,98.87,2,52.4,Normal,0
295524.0,111.7,11229.8,64.61,3,93.2,Normal,1
22175.9,116.4,1170.0,61.92,6,53.6,Severe,1
345312.0,20.8,9021.9,97.2,6,33.1,Severe,1
322911.5,76.8,11179.9,71.61,4,73.1,Severe,1
225742.6,17.3,6308.2,89.09,6,15.9,Severe,0
193151.5,27.8,5143.5,90.81,1,38.6,Normal,0
261007.1,61.6,6168.3,76.29,2,72.6,Normal,0
39899.8,117.9,1413.9,58.57,5,74.0,Severe,1
375529.0,78.2,9965.5,69.64,6,81.5,Normal,1
431006.5,55.2,13004.4,74.65,3,75.5,Severe,1
79982.7,11.9,1999.3,91.53,6,0.0,Normal,0
156240.3,108.4,4489.5,59.86,4,82.9,Extreme,0
389886.8,116.9,9259.8,70.94,4,118.6,Severe,1
34391.4,7.9,1166.7,93.32,6,0.3,Normal,0
256519.1,74.2,6173.6,75.35,3,80.9,Normal,0
140883.7,37.4,4615.7,90.03,6,30.5,Extreme,0
175927.4,6.7,6070.6,96.86,2,32.2,Extreme,1
403802.9,59.2,10851.5,83.1,3,80.7,Extreme,1
37463.7,90.8,1538.2,67.32,3,48.5,Severe,0
284229.3,91.1,8086.4,65.02,6,71.9,Severe,1
371014.9,29.3,8283.9,90.84,4,62.6,Extreme,0
140058.0,7.8,5156.1,89.61,4,24.4,Normal,0
61429.7,64.2,1848.9,79.38,6,33.1,Normal,0
292192.2,59.0,10929.9,82.86,1,80.7,Severe,1
327712.2,101.0,7385.6,57.92,6,92.9,Normal,1
288543.6,109.8,5859.0,61.9,3,95.9,Normal,1
384748.7,76.1,13377.1,66.83,3,92.8,Normal,1
345632.6,34.2,12760.6,91.76,4,55.2,Normal,1
386145.6,25.5,9090.1,93.89,4,53.7,Normal,1
41195.9,93.9,1027.7,72.17,2,59.1,Normal,0
433323.3,86.9,15000.0,70.23,3,113.7,Extreme,1
340569.4,26.0,8729.3,86.88,2,62.1,Normal,1
374574.9,90.9,8230.2,64.62,3,91.6,Normal,1
337800.5,68.1,10617.7,82.36,3,78.2,Extreme,1
377301.1,51.2,8480.6,83.08,4,73.4,Extreme,1
197153.4,108.3,6266.9,63.35,6,70.8,Normal,1
219116.1,45.7,7919.9,76.51,6,46.8,Extreme,0
311110.4,63.2,7961.7,75.7,5,67.6,Normal,0
116162.9,112.2,2718.4,54.44,5,64.8,Extreme,1
208849.0,86.2,5181.3,67.52,4,75.9,Normal,0
144221.3,18.6,4949.7,100.0,2,33.2,Extreme,0
419030.7,73.2,9522.5,72.38,6,84.9,Severe,0
371877.6,103.7,7736.8,67.42,4,96.8,Severe,0
247334.3,105.9,7763.1,63.16,6,78.6,Severe,1
214924.1,41.1,6701.9,80.74,1,66.0,Severe,1
230008.4,15.6,9116.3,100.0,4,27.3,Normal,1
172941.7,71.0,5261.1,68.94,3,68.6,Normal,0
420978.4,53.2,9391.1,80.0,1,81.0,Normal,1
251960.4,58.6,7331.9,73.64,2,72.7,Extreme,0
109482.5,39.6,3752.5,80.98,2,44.8,Extreme,0
10207.8,104.3,566.1,63.68,2,72.5,Normal,0
45549.9,13.5,1652.9,98.91,3,14.6,Extreme,1
286860.7,67.3,7805.0,73.19,6,61.0,Normal,0
304484.6,115.7,6973.6,65.26,6,90.6,Severe,1
249503.2,28.9,8723.4,98.48,2,59.0,Extreme,1
244926.3,72.1,6401.5,71.54,3,67.5,Normal,0
407775.5,18.5,10457.7,91.52,4,55.2,Normal,1
65560.3,78.2,1452.9,83.49,4,40.6,Normal,0
33783.6,109.1,1637.5,60.22,2,78.8,Severe,1
335220.1,108.4,8872.8,58.83,1,118.3,Extreme,1
198805.9,9.3,4639.0,89.57,2,35.4,Normal,0
417314.1,59.1,9662.2,84.41,3,93.7,Severe,1
328309.1,96.5,9397.6,71.51,1,104.0,Normal,1
338776.7,49.2,10324.0,79.32,4,57.6,Normal,0
269317.9,22.1,6698.5,99.75,5,33.1,Extreme,1
171903.4,12.6,3686.9,99.02,5,15.1,Extreme,0
295908.4,79.0,9097.8,71.98,6,62.4,Normal,0
164396.0,17.9,4526.6,98.51,5,14.5,Normal,0
260891.6,101.1,6506.7,58.82,4,80.4,Normal,0
403875.1,114.4,10996.9,55.9,2,113.2,Severe,1
129903.2,65.0,5364.3,78.85,6,41.4,Normal,0
295381.5,113.5,8272.7,57.0,6,85.8,Severe,1
442416.3,52.7,15000.0,79.47,5,70.2,Normal,1
132287.0,15.3,5488.0,93.64,4,19.4,Normal,0
282985.1,101.7,8927.7,65.3,4,87.5,Normal,1
139579.5,12.3,4162.3,95.21,3,15.4,Severe,0
308722.6,50.4,7770.8,91.63,6,47.7,Severe,1
413288.8,27.7,15000.0,97.29,6,45.3,Normal,0
32833.6,47.3,1477.1,83.95,1,28.8,Extreme,1
394828.0,28.2,8813.5,92.65,3,67.1,Severe,0
113590.2,83.4,3125.3,71.27,1,72.8,Extreme,1
79367.6,65.9,2783.1,81.73,5,48.5,Severe,0
409534.5,118.5,12491.2,59.0,5,120.0,Normal,1
269816.6,12.5,8482.6,92.72,2,41.2,Severe,0
208581.0,97.4,7027.2,75.2,6,65.9,Extreme,1
94941.3,56.7,3255.1,85.3,1,54.2,Extreme,1
119852.2,11.3,2934.2,95.77,6,4.7,Normal,0
243849.9,91.4,9435.9,68.18,3,80.5,Normal,1
232277.3,50.7,6777.3,82.89,6,53.0,Normal,0
120198.2,45.4,3874.6,73.47,6,33.1,Normal,1
392250.6,21.3,9175.9,94.27,6,52.6,Normal,1
172940.1,56.7,4129.0,81.12,5,42.5,Normal,0
345448.6,64.7,7596.2,78.76,3,87.0,Severe,0
359740.3,95.6,8120.8,70.13,3,101.7,Normal,1
281060.4,84.9,7201.5,67.81,4,76.6,Extreme,1
237502.5,99.4,8001.0,67.18,5,83.9,Normal,1
94196.7,31.7,3600.8,87.18,6,23.7,Extreme,1
296473.8,70.4,9301.7,71.54,1,89.9,Normal,1
340621.8,45.6,12399.0,87.37,3,61.2,Normal,1
224916.8,13.2,6146.9,95.61,6,24.9,Severe,0
312338.2,37.7,9175.7,83.17,5,49.8,Severe,1
378182.9,28.3,8266.1,90.02,3,55.7,Normal,0
251156.4,62.5,6063.8,78.34,1,70.5,Extreme,1
326298.2,32.4,8946.3,92.61,4,63.0,Severe,1
187152.7,34.1,5723.7,83.1,5,28.1,Severe,0
371922.0,58.6,14175.0,83.75,2,82.2,Severe,1
385379.6,32.0,12894.6,92.71,3,65.0,Normal,0
325161.5,93.9,7224.9,64.62,3,94.4,Normal,1
146396.5,80.3,4187.2,78.29,1,67.9,Normal,0
188203.0,8.2,5757.3,100.0,4,15.5,Extreme,0
442792.5,66.0,14369.0,92.34,2,99.2,Severe,1
25801.9,11.5,952.3,98.42,1,14.8,Normal,0
176394.2,110.7,5046.6,60.0,6,77.9,Severe,1
147924.3,109.4,3494.5,64.87,6,68.0,Normal,0
168263.3,78.7,5983.1,70.88,5,60.9,Extreme,1
396618.9,116.1,10454.4,59.99,2,120.0,Normal,1
40965.5,45.3,1988.3,86.04,1,45.3,Severe,0
288539.3,49.4,8084.9,80.25,4,59.6,Normal,0
394404.6,11.5,9194.4,100.0,1,58.9,Normal,0
384138.4,111.7,8762.0,58.86,1,119.8,Extreme,1
424650.2,12.4,14850.3,94.94,2,65.4,Severe,1
145586.8,68.9,3939.8,70.88,2,64.7,Severe,1
440905.0,22.3,12000.9,93.22,2,79.0,Normal,0
95199.5,60.9,2331.9,74.71,4,37.8,Normal,0
163906.2,83.1,3624.1,68.39,4,57.8,Extreme,0
50158.7,89.6,1905.9,64.92,3,64.9,Normal,1
265127.5,37.9,9806.0,81.36,6,37.4,Normal,0
11858.9,91.2,705.0,60.41,4,54.2,Extreme,1
40471.4,51.4,1132.9,81.31,1,35.3,Severe,0
171615.0,117.4,4422.9,49.82,5,91.7,Normal,0
343974.8,119.4,11074.4,64.44,2,118.7,Normal,1
55978.1,80.4,1858.4,62.9,6,49.1,Severe,0
239710.6,93.7,6741.4,68.81,5,73.0,Normal,0
210717.5,79.5,6353.3,74.91,6,62.4,Extreme,0
223077.5,12.5,7239.7,88.15,3,27.6,Severe,0
309141.1,110.6,9268.0,63.08,1,101.6,Normal,1
184458.2,55.2,5173.0,69.21,5,46.7,Severe,0
65745.6,96.2,1835.9,68.27,5,52.0,Normal,0
356815.7,112.1,9531.5,60.8,3,109.2,Normal,1
363386.3,11.6,8335.9,98.23,1,60.1,Normal,0
235618.8,29.8,7269.7,92.21,5,31.9,Normal,0
130449.9,33.6,4152.5,90.45,1,51.2,Normal,1
367503.3,10.7,12658.7,90.82,5,35.2,Extreme,1
205565.1,13.9,4951.1,92.53,3,38.4,Normal,0
402355.0,49.9,10344.6,86.36,2,80.7,Extreme,1
25435.2,48.1,917.6,74.03,4,29.9,Extreme,0
300880.0,24.3,7868.7,89.84,5,36.3,Normal,1
77806.6,98.2,3085.4,67.45,4,61.7,Severe,1
125126.3,110.9,4421.9,63.04,2,77.4,Extreme,1
103294.5,91.4,4182.6,74.18,5,58.2,Extreme,0
410131.1,52.7,15000.0,83.59,2,88.6,Normal,1
165659.6,108.2,5090.8,52.83,4,83.4,Severe,1
143185.4,76.4,3380.1,67.79,4,58.7,Severe,1
293798.8,35.6,8512.5,85.14,4,43.9,Extreme,0
172227.5,72.7,4063.0,73.06,6,58.3,Normal,0
142861.3,109.5,3053.6,62.51,4,82.3,Severe,1
120401.4,76.2,4743.9,69.04,5,55.0,Extreme,0
340713.6,90.3,9109.6,69.13,4,84.7,Severe,1
203168.3,68.1,5098.9,78.12,1,65.7,Severe,0
246253.6,25.1,8244.1,88.53,6,33.0,Normal,0
149336.4,82.4,3677.1,67.81,1,82.0,Extreme,0
26433.1,8.5,711.8,97.21,1,6.9,Normal,0
71289.1,25.2,2007.8,94.5,5,10.9,Normal,0
75893.8,83.1,1980.2,74.43,2,70.7,Normal,1
272459.2,65.5,6977.8,81.34,5,69.9,Severe,0
20295.6,94.9,853.9,65.82,5,58.0,Extreme,1
177013.5,95.5,6987.9,66.25,3,84.8,Normal,0
336920.4,44.3,6929.4,92.72,5,56.6,Normal,1
42187.8,41.5,1320.6,84.34,6,25.8,Normal,0
140977.2,61.6,3425.5,78.54,2,57.4,Severe,1
308953.9,28.1,10252.3,94.7,1,70.9,Extreme,1
159000.9,117.6,4494.3,57.26,4,87.2,Normal,0
388814.2,110.3,10084.4,62.44,2,115.4,Normal,1
75199.9,98.9,2279.1,72.49,1,82.2,Severe,0
423707.3,26.7,13364.1,94.18,2,62.7,Normal,0
448476.8,116.0,9967.6,62.2,1,120.0,Normal,1
185140.0,20.3,5981.8,92.82,4,30.6,Extreme,0
392254.7,16.8,10069.9,98.41,4,55.9,Severe,0
368051.5,98.8,8859.9,61.56,2,103.1,Normal,1
238153.0,40.8,5357.8,89.3,4,55.7,Extreme,1
104226.7,60.7,3446.8,80.77,6,26.8,Normal,0
439531.1,67.1,11652.9,79.37,1,104.9,Normal,1
266589.3,106.2,8707.0,70.22,5,80.4,Extreme,1
58143.1,14.8,1550.8,86.63,5,7.7,Normal,0
113724.6,58.4,4144.0,79.26,2,58.3,Extreme,1
301556.6,34.8,6366.1,77.48,1,57.1,Normal,0
98279.5,70.8,2684.6,81.26,5,46.2,Normal,0
85347.4,89.7,3322.2,63.65,5,51.0,Normal,0
206253.4,88.8,6394.2,65.92,1,93.0,Severe,1
88178.4,91.0,2260.0,68.56,5,57.3,Normal,0
41923.5,56.0,1185.2,82.04,1,51.3,Normal,0
239277.0,96.3,8274.2,57.56,2,98.6,Extreme,1
287204.0,100.5,10015.6,61.8,1,109.8,Extreme,1
370212.3,90.2,12837.5,65.05,3,101.7,Extreme,1
343045.5,6.6,12033.4,100.0,4,40.3,Normal,0
382976.4,95.8,9265.5,57.81,4,95.2,Severe,1
215732.3,19.8,7042.2,97.68,5,24.7,Extreme,1
352645.4,76.0,7740.7,69.1,4,89.0,Severe,0
415806.2,96.7,13078.3,67.98,5,103.6,Normal,1
78066.5,104.3,2940.9,70.66,3,73.5,Severe,1
125513.9,102.3,3422.4,62.84,3,73.8,Normal,1
220109.1,42.0,8148.0,84.09,4,52.8,Extreme,1
172490.5,40.9,3568.3,89.54,1,59.0,Extreme,0
412507.0,18.3,14017.4,95.22,4,62.4,Severe,1
439144.9,58.2,10157.5,81.85,3,86.7,Normal,1
290491.1,116.7,9563.4,49.5,2,98.7,Normal,1
371703.7,33.3,9070.9,93.2,6,58.5,Normal,1
209697.0,110.2,5687.4,59.33,6,75.2,Severe,1
408531.0,18.5,14934.6,99.3,5,60.3,Severe,0
361666.7,77.9,12780.4,70.13,4,95.6,Severe,1
144066.4,40.2,3240.8,86.87,1,49.6,Normal,0
25512.9,38.7,1322.4,85.27,2,21.8,Normal,0
95207.0,104.5,3236.4,68.87,5,57.6,Extreme,1
170494.8,65.1,3747.0,69.46,6,43.9,Normal,0
63658.2,53.3,1894.2,81.64,5,34.1,Extreme,0
178882.8,83.9,7470.5,66.17,6,66.3,Severe,1
95363.0,24.8,2685.3,91.15,2,34.7,Severe,0
435924.5,50.3,10306.8,76.44,3,78.0,Extreme,1
419032.4,108.7,10399.5,66.06,1,120.0,Extreme,1
39312.7,80.4,1133.2,70.72,5,35.8,Normal,0
381831.8,42.5,9681.1,83.73,5,68.7,Extreme,1
83386.7,36.5,1844.1,90.67,4,21.2,Normal,0
41590.2,93.4,1643.4,65.5,1,71.1,Extreme,1
91132.9,53.5,2968.0,80.81,2,50.4,Extreme,0
141093.9,106.5,5187.4,70.5,6,69.2,Normal,0
435484.7,60.0,14442.3,75.03,1,95.1,Extreme,1
388387.6,34.3,8823.1,93.99,3,66.8,Extreme,1
300974.2,75.2,7340.5,75.47,6,73.6,Extreme,1
81141.9,44.4,3019.5,80.66,4,25.7,Severe,0
429518.7,43.8,15000.0,80.04,2,89.2,Normal,1
213993.6,101.5,6801.1,70.16,6,70.3,Severe,1
262061.4,6.9,6433.0,99.83,6,18.6,Normal,0
136100.4,14.2,3785.8,100.0,2,25.9,Severe,0
430492.8,55.7,12795.6,81.45,1,86.2,Normal,0
114344.8,35.4,3431.1,82.85,4,23.1,Normal,0
11351.4,103.9,437.8,61.68,4,51.9,Extreme,1
412578.4,66.1,10171.3,74.33,4,79.0,Normal,1
173854.8,53.1,6113.6,81.21,1,62.6,Severe,1
390238.3,37.1,13564.5,82.93,4,62.8,Normal,1
109800.4,89.6,3100.7,74.97,5,57.6,Extreme,1
236242.4,16.8,5295.6,97.36,1,37.0,Severe,1
105380.6,82.1,3970.5,70.33,3,57.6,Extreme,1
64698.4,82.0,2251.1,71.71,2,59.9,Normal,1
442830.9,46.2,13400.8,80.71,3,81.2,Normal,1
221749.7,107.7,8043.8,60.77,1,101.0,Normal,0
285104.8,98.0,8461.1,68.22,4,93.7,Severe,1
48852.1,102.2,2095.2,63.55,4,63.4,Normal,0
435025.7,85.8,10732.8,68.22,2,110.8,Normal,1
390997.3,58.1,9655.2,84.35,4,69.4,Severe,1
179326.7,114.3,4057.5,63.03,5,78.9,Severe,1
295740.5,51.6,11733.3,84.76,1,83.3,Extreme,1
265264.7,114.8,7731.1,64.39,6,92.3,Severe,0
444329.1,111.5,10723.6,59.75,4,120.0,Normal,1
357673.2,27.0,8794.9,85.79,2,54.4,Severe,0
259599.0,16.9,7446.0,93.61,1,46.5,Extreme,1
333046.9,88.4,8748.4,71.37,1,91.8,Normal,1
209000.7,30.3,7289.5,90.48,5,26.7,Severe,0
257877.2,11.4,10132.4,100.0,4,40.2,Extreme,0
439239.7,94.6,11384.3,77.79,4,97.1,Normal,0
418274.1,15.8,8927.9,84.66,5,57.1,Severe,0
369287.7,80.3,13845.2,64.01,5,85.6,Normal,1
231734.8,62.4,8144.7,73.76,2,73.9,Normal,0
408354.7,26.6,11789.0,100.0,3,62.4,Severe,0
340258.5,79.2,7884.8,76.67,2,98.8,Severe,1
285529.6,101.5,8933.6,63.49,3,99.1,Severe,1
391165.6,107.1,10564.4,57.09,2,118.2,Severe,1
408390.6,81.7,9538.3,68.97,3,94.2,Normal,0
338884.5,119.0,10063.9,54.39,2,111.0,Normal,1
128645.1,84.2,3303.1,57.96,2,65.5,Extreme,1
57355.0,23.4,1607.3,94.19,5,18.9,Normal,0
175484.9,34.5,4188.5,100.0,4,36.0,Severe,0
307560.3,41.7,8552.0,76.09,3,69.4,Severe,1
15256.0,25.5,786.1,99.12,4,17.1,Normal,0
200218.0,112.3,7997.0,58.17,4,81.7,Normal,1
237851.3,24.5,5791.1,83.86,5,39.2,Severe,0
425341.4,60.6,9500.4,73.12,3,89.9,Severe,1
150068.3,25.6,4788.2,89.75,1,40.1,Extreme,1
393448.4,104.9,13010.2,64.39,3,108.0,Severe,1
72735.7,94.1,2363.4,72.15,6,57.8,Severe,0
313793.3,83.0,11199.0,70.71,2,99.6,Normal,1
365977.7,36.9,7955.1,79.88,5,55.8,Normal,0
118364.2,102.7,3097.0,76.48,5,74.8,Normal,0
392971.2,118.9,8744.4,54.68,2,120.0,Severe,1
55019.9,50.7,2359.2,73.95,3,39.8,Severe,1
270616.6,111.5,7227.5,57.25,4,93.8,Normal,1
249179.7,80.4,7794.9,71.34,4,66.6,Normal,0
407916.4,100.1,9132.5,68.49,3,117.4,Severe,1
145008.3,32.2,4298.6,89.22,3,27.7,Normal,0
37515.5,52.2,1161.5,85.44,2,47.1,Normal,0
138833.6,9.5,3463.5,100.0,1,37.6,Severe,0
181172.5,42.4,5917.7,79.34,1,56.5,Normal,0
93066.0,46.3,2904.8,89.18,5,36.2,Severe,0
337806.8,45.0,11749.1,88.5,6,47.3,Normal,1
73884.0,101.6,1608.5,62.77,2,67.8,Normal,0
411474.0,94.0,9058.7,61.41,5,95.9,Severe,1
115719.3,105.1,4159.4,66.77,4,73.4,Normal,1
84624.3,102.7,2224.5,62.67,3,64.7,Severe,0
39437.4,63.2,1250.1,80.89,3,46.5,Normal,0
210454.9,21.4,5131.0,90.88,3,37.1,Extreme,0
123057.1,110.7,4909.7,49.94,6,61.6,Normal,0
121258.5,81.7,2756.1,82.05,4,58.1,Normal,0
82018.8,36.2,2146.5,83.81,4,20.9,Normal,0
320705.5,99.9,7123.9,74.52,2,103.8,Extreme,1
405256.6,101.0,15000.0,67.01,5,106.1,Severe,1
165393.5,101.7,6680.3,61.86,6,76.1,Normal,0
208314.5,87.0,6741.7,71.97,6,56.9,Severe,1
56834.2,27.7,1366.2,94.22,5,20.0,Severe,0
219822.9,81.3,6692.8,67.1,5,68.1,Normal,1
172908.4,74.2,6546.5,73.38,2,70.6,Normal,0
53565.3,91.5,2082.0,70.76,2,63.4,Extreme,1
66432.7,67.4,1836.2,80.82,3,48.4,Extreme,1
210295.7,43.9,4878.2,86.09,5,42.7,Severe,0
407926.7,70.8,10443.1,76.87,4,78.5,Normal,0
421418.5,50.6,15000.0,80.74,5,68.1,Severe,0
347676.3,31.4,8405.5,86.85,1,69.6,Extreme,0
159282.5,43.6,4910.1,98.39,3,46.4,Extreme,0
15702.7,86.9,879.3,66.75,4,49.8,Extreme,1
409774.5,14.5,12182.1,99.74,4,49.9,Normal,1
376576.8,119.1,10472.5,53.69,5,106.9,Severe,1
129501.6,97.2,3176.9,59.92,2,67.7,Normal,0
194171.5,111.2,6578.3,58.59,4,77.6,Normal,1
330785.5,84.2,7110.0,67.63,4,82.7,Normal,1
134004.1,112.9,4160.9,60.4,4,69.1,Normal,1
335898.7,6.5,8761.0,92.45,2,55.3,Severe,1
315421.9,70.6,6726.6,74.84,1,94.1,Severe,1
427005.3,106.5,11010.3,67.55,6,105.1,Extreme,1
24829.3,92.1,927.4,66.39,2,54.6,Extreme,1
166628.6,105.5,5014.2,60.83,5,65.8,Normal,0
31941.3,78.6,988.2,83.62,5,35.8,Normal,0
220363.5,49.2,6588.9,79.48,1,65.2,Normal,0
440984.6,85.5,9826.0,64.91,4,97.7,Severe,1
162768.1,48.7,5859.5,82.41,4,41.3,Normal,0
59735.5,76.3,1710.4,73.19,5,44.5,Severe,0
391756.0,116.5,12204.9,51.11,5,109.5,Extreme,1
318327.6,108.1,9286.6,63.06,4,103.5,Severe,1
192434.1,50.4,4371.1,85.38,4,54.8,Severe,0
339623.5,84.5,10048.8,72.54,1,93.2,Normal,0
190663.5,61.2,7497.3,74.98,4,57.3,Normal,0
403953.6,19.0,12126.1,90.8,3,64.0,Severe,1
430960.2,114.7,14783.2,68.99,4,119.7,Extreme,0
326549.1,116.2,8260.3,64.24,2,118.1,Severe,1
15536.4,49.0,639.7,86.89,5,28.1,Extreme,1
