battery_id,cycle_count,temperature,voltage,current,capacity,internal_resistance,soh,rul
B0001,88,36.3,3.4981,1.9912,1.7077,0.1703,85.39,147
B0001,89,35.47,3.5107,2.0311,1.7273,0.1706,86.37,146
B0001,90,35.31,3.5114,1.9999,1.7306,0.1671,86.53,145
B0001,91,35.52,3.5399,1.9987,1.7245,0.1723,86.22,144
B0001,92,35.33,3.5102,1.9944,1.7119,0.1748,85.59,143
B0001,93,36.68,3.4922,2.0437,1.7077,0.1809,85.38,142
B0001,94,35.87,3.5223,2.0131,1.7214,0.174,86.07,141
B0001,95,36.49,3.4896,1.9369,1.7134,0.1776,85.67,140
B0001,96,36.15,3.5135,1.9999,1.7098,0.1795,85.49,139
B0001,97,36.18,3.5029,1.9749,1.7129,0.1795,85.64,138
B0001,98,35.23,3.5325,1.9711,1.7175,0.1733,85.87,137
B0001,99,36.45,3.4851,2.0748,1.6888,0.1763,84.44,136
B0001,100,35.55,3.5274,1.9185,1.7015,0.1788,85.08,135
B0001,101,36.27,3.4584,1.9669,1.7056,0.1882,85.28,134
B0001,102,36.45,3.4845,2.0019,1.7186,0.1871,85.93,133
B0001,103,36.29,3.4817,2.0322,1.6859,0.1878,84.3,132
B0001,104,36.84,3.4769,1.9999,1.687,0.1861,84.35,131
B0001,105,36.36,3.4744,1.9992,1.6985,0.1927,84.92,130
B0001,106,36.12,3.5146,1.9859,1.7089,0.1858,85.44,129
B0001,107,36.99,3.455,2.0253,1.6894,0.1916,84.47,128
B0001,108,35.96,3.4886,2.0353,1.6732,0.1867,83.66,127
B0001,109,36.24,3.4929,2.0159,1.6977,0.1893,84.89,126
B0001,110,36.7,3.4722,2.0075,1.6828,0.1991,84.14,125
B0001,111,36.38,3.4682,1.9782,1.6777,0.1894,83.88,124
B0001,112,36.29,3.4899,1.9651,1.6784,0.1895,83.92,123
B0001,113,36.65,3.4559,2.0639,1.6821,0.1946,84.11,122
B0001,114,36.7,3.4799,2.0193,1.6899,0.1982,84.49,121
B0001,115,36.81,3.4587,2.0189,1.683,0.2015,84.15,120
B0001,116,36.36,3.4409,1.9835,1.6811,0.1966,84.05,119
B0001,117,36.61,3.4304,2.065,1.659,0.2045,82.95,118
B0001,118,35.96,3.4825,1.9706,1.675,0.197,83.75,117
B0001,119,37.02,3.4261,1.9657,1.6615,0.2023,83.07,116
B0001,120,36.95,3.4681,1.9872,1.6628,0.2035,83.14,115
B0001,121,37.03,3.4335,2.0047,1.6766,0.1994,83.83,114
B0001,122,37.01,3.4624,2.0323,1.6574,0.2027,82.87,113
B0001,123,36.71,3.4122,1.9736,1.6506,0.2119,82.53,112
B0001,124,37.19,3.4508,1.9978,1.667,0.2032,83.35,111
B0001,125,37.35,3.4544,2.0222,1.6524,0.2065,82.62,110
B0001,126,37.02,3.4289,2.0023,1.6477,0.2086,82.38,109
B0001,127,37.27,3.4435,1.9839,1.6421,0.2118,82.11,108
B0001,128,36.67,3.4234,1.9613,1.6423,0.2117,82.12,107
B0001,129,37.04,3.4382,1.9906,1.6531,0.2109,82.66,106
B0001,130,37.29,3.4467,1.9897,1.6458,0.214,82.29,105
B0001,131,37.82,3.4239,2.0237,1.6266,0.2105,81.33,104
B0001,132,38.35,3.3758,2.0567,1.6284,0.2173,81.42,103
B0001,133,37.9,3.39,2.0298,1.6468,0.2181,82.34,102
B0001,134,38.19,3.3897,1.9805,1.6351,0.2143,81.75,101
B0001,135,38.07,3.4133,2.0049,1.639,0.2146,81.95,100
B0001,136,37.68,3.4285,1.9843,1.6432,0.2209,82.16,99
B0001,137,38.09,3.4287,1.9828,1.6243,0.2209,81.22,98
B0001,138,37.9,3.4032,1.9744,1.6175,0.2219,80.88,97
B0001,139,37.55,3.4067,1.9938,1.6175,0.2233,80.88,96
B0001,140,38.17,3.3862,2.043,1.6152,0.2255,80.76,95
B0001,141,37.66,3.3868,1.9991,1.6421,0.219,82.1,94
B0001,142,38.23,3.4091,2.0116,1.6201,0.227,81.0,93
B0001,143,37.79,3.3812,2.0032,1.6271,0.226,81.36,92
B0001,144,37.76,3.358,1.9838,1.6214,0.226,81.07,91
B0001,145,38.52,3.3881,1.9995,1.6139,0.2312,80.7,90
B0001,146,38.7,3.3527,1.9537,1.5977,0.2327,79.89,89
B0001,147,37.89,3.3746,2.0186,1.5961,0.2326,79.81,88
B0001,148,38.9,3.3537,1.9748,1.6064,0.2307,80.32,87
B0001,149,37.9,3.3703,2.0491,1.624,0.2297,81.2,86
B0001,150,38.83,3.3661,1.9978,1.6007,0.2369,80.03,85
B0001,151,38.33,3.3874,2.0025,1.5889,0.2386,79.44,84
B0001,152,38.42,3.3765,2.02,1.5928,0.2355,79.64,83
B0001,153,38.72,3.4008,2.0131,1.5992,0.239,79.96,82
B0001,154,38.83,3.3546,2.042,1.585,0.2377,79.25,81
B0001,155,38.77,3.3696,2.0195,1.5977,0.2378,79.89,80
B0001,156,38.94,3.3747,1.9929,1.5859,0.235,79.3,79
B0001,157,38.67,3.3922,2.0013,1.5915,0.2411,79.58,78
B0001,158,38.98,3.3815,1.9909,1.5714,0.242,78.57,77
B0001,159,38.93,3.3197,2.0078,1.5897,0.2444,79.48,76
B0001,160,38.7,3.3706,1.9489,1.5751,0.2438,78.75,75
B0001,161,38.3,3.3471,2.0195,1.5807,0.2475,79.03,74
B0001,162,39.07,3.3443,2.0049,1.5725,0.2491,78.63,73
B0001,163,39.23,3.3534,2.0172,1.5712,0.2508,78.56,72
B0001,164,39.22,3.3371,2.0386,1.5824,0.2489,79.12,71
B0001,165,39.1,3.3733,2.0369,1.5665,0.2418,78.33,70
B0001,166,39.31,3.3919,1.9899,1.5803,0.2532,79.02,69
B0001,167,39.77,3.3403,2.0328,1.5643,0.2544,78.21,68
B0001,168,39.47,3.3278,2.0327,1.5559,0.2535,77.8,67
B0001,169,38.91,3.3283,2.0102,1.5725,0.2544,78.63,66
B0001,170,39.38,3.3543,2.0031,1.5731,0.2575,78.66,65
B0001,171,40.12,3.3482,2.0586,1.5501,0.2585,77.51,64
B0001,172,39.43,3.3385,1.9731,1.5682,0.2638,78.41,63
B0001,173,39.44,3.3322,2.0428,1.5425,0.2601,77.12,62
B0001,174,39.89,3.3159,1.952,1.5379,0.2606,76.89,61
B0001,175,39.38,3.3101,1.9785,1.5442,0.2643,77.21,60
B0001,176,39.87,3.3,1.9773,1.5511,0.2631,77.55,59
B0001,177,39.89,3.2893,1.9719,1.551,0.2654,77.55,58
B0001,178,39.67,3.343,1.991,1.545,0.2637,77.25,57
B0001,179,40.48,3.2757,2.0514,1.5361,0.2678,76.8,56
B0001,180,40.02,3.3236,2.0167,1.5326,0.2661,76.63,55
B0001,181,40.61,3.2904,1.9766,1.5387,0.2712,76.93,54
B0001,182,40.42,3.3548,1.9614,1.5358,0.27,76.79,53
B0001,183,40.55,3.3214,2.0286,1.5287,0.2717,76.44,52
B0001,184,39.79,3.2729,1.996,1.5204,0.2708,76.02,51
B0001,185,39.95,3.3196,2.0064,1.5328,0.273,76.64,50
B0001,186,40.11,3.3222,1.9948,1.5189,0.275,75.95,49
B0001,187,40.88,3.2702,2.0061,1.51,0.2732,75.5,48
B0001,188,40.31,3.3112,1.9695,1.5099,0.2783,75.5,47
B0001,189,41.03,3.2599,2.041,1.5144,0.2783,75.72,46
B0001,190,41.23,3.319,2.012,1.5038,0.2807,75.19,45
B0001,191,39.37,3.2866,1.9958,1.5081,0.2763,75.41,44
B0001,192,41.15,3.3103,2.0369,1.5084,0.2815,75.42,43
B0001,193,41.62,3.2379,1.9958,1.5242,0.2848,76.21,42
B0001,194,40.57,3.262,2.0272,1.5053,0.2819,75.26,41
B0001,195,40.45,3.2871,1.9909,1.4933,0.2813,74.66,40
B0001,196,40.89,3.2901,1.9258,1.5017,0.2871,75.09,39
B0001,197,40.72,3.2461,1.9736,1.4844,0.2882,74.22,38
B0001,198,40.03,3.3001,1.9595,1.5006,0.284,75.03,37
B0001,199,40.86,3.2557,2.0081,1.493,0.2822,74.65,36
B0001,200,40.72,3.2578,2.0375,1.4882,0.2868,74.41,35
B0002,1,31.23,3.7296,2.0025,1.8223,0.0718,91.12,170
B0002,2,31.05,3.7462,1.9693,1.8319,0.0714,91.59,169
B0002,3,31.17,3.7455,1.9838,1.832,0.0769,91.6,168
B0002,4,30.88,3.743,1.9785,1.813,0.0724,90.65,167
B0002,5,30.86,3.6921,1.9547,1.8081,0.073,90.41,166
B0002,6,31.2,3.7391,2.0065,1.8129,0.0813,90.65,165
B0002,7,31.78,3.7497,1.93,1.8095,0.0795,90.48,164
B0002,8,31.3,3.7093,1.9982,1.8103,0.0815,90.51,163
B0002,9,31.64,3.7425,2.0249,1.8104,0.0846,90.52,162
B0002,10,31.3,3.7276,2.0295,1.8058,0.0793,90.29,161
B0002,11,31.7,3.7353,1.9636,1.8014,0.0851,90.07,160
B0002,12,32.13,3.7024,2.0324,1.8136,0.0871,90.68,159
B0002,13,31.55,3.6975,1.9964,1.794,0.0897,89.7,158
B0002,14,31.59,3.6756,2.0131,1.7957,0.0837,89.79,157
B0002,15,31.82,3.7299,2.0016,1.8051,0.0861,90.25,156
B0002,16,32.17,3.6967,2.0247,1.794,0.0856,89.7,155
B0002,17,31.8,3.6742,1.9851,1.7925,0.0891,89.63,154
B0002,18,32.46,3.6908,1.9963,1.7809,0.0941,89.05,153
B0002,19,31.56,3.6488,1.9827,1.7821,0.0937,89.11,152
B0002,20,32.02,3.6786,2.0002,1.7973,0.0951,89.87,151
B0002,21,32.12,3.6766,2.0116,1.7887,0.0964,89.43,150
B0002,22,32.22,3.7034,1.9802,1.7807,0.0959,89.03,149
B0002,23,33.01,3.7119,1.9951,1.7848,0.0987,89.24,148
B0002,24,32.64,3.7132,2.056,1.7728,0.1001,88.64,147
B0002,25,31.84,3.6779,1.9451,1.7687,0.0942,88.43,146
B0002,26,32.97,3.7001,1.9954,1.7604,0.101,88.02,145
B0002,27,32.91,3.6552,2.0072,1.7702,0.1031,88.51,144
B0002,28,32.81,3.6738,2.0031,1.7736,0.1055,88.68,143
B0002,29,33.09,3.6797,2.0067,1.7784,0.1047,88.92,142
B0002,30,32.2,3.6722,2.0044,1.7478,0.1028,87.39,141
B0002,31,33.21,3.655,2.0425,1.7769,0.1064,88.85,140
B0002,32,32.85,3.6538,2.0263,1.7504,0.1004,87.52,139
B0002,33,33.35,3.6549,2.0364,1.7629,0.1107,88.14,138
B0002,34,32.71,3.6608,2.026,1.7506,0.1092,87.53,137
B0002,35,33.37,3.6448,2.0283,1.7552,0.1123,87.76,136
B0002,36,32.7,3.6582,1.9994,1.749,0.1117,87.45,135
B0002,37,33.22,3.6369,2.0163,1.7453,0.1183,87.26,134
B0002,38,33.16,3.6252,2.0027,1.7336,0.1203,86.68,133
B0002,39,33.73,3.6373,2.0139,1.7436,0.1149,87.18,132
B0002,40,33.26,3.627,2.0124,1.7421,0.1202,87.1,131
B0002,41,33.49,3.6674,2.0208,1.7423,0.1174,87.12,130
B0002,42,33.32,3.6542,2.0059,1.7381,0.1215,86.91,129
B0002,43,33.39,3.6624,1.9412,1.7403,0.1158,87.01,128
B0002,44,33.28,3.6272,2.0207,1.7288,0.1192,86.44,127
B0002,45,33.96,3.6475,1.9705,1.7409,0.1257,87.04,126
B0002,46,33.96,3.6133,1.933,1.7271,0.13,86.35,125
B0002,47,33.56,3.6097,2.0505,1.7275,0.1214,86.38,124
B0002,48,33.66,3.633,1.9645,1.7242,0.1264,86.21,123
B0002,49,34.39,3.6234,2.0981,1.7188,0.127,85.94,122
B0002,50,34.22,3.6399,2.0075,1.7458,0.1274,87.29,121
B0002,51,33.47,3.5865,2.0265,1.7039,0.1253,85.2,120
B0002,52,33.94,3.6075,2.028,1.7207,0.1316,86.03,119
B0002,53,33.43,3.6232,2.0199,1.7239,0.1298,86.19,118
B0002,54,34.43,3.5944,2.0742,1.7147,0.132,85.73,117
B0002,55,34.68,3.6144,1.9835,1.7202,0.1397,86.01,116
B0002,56,33.78,3.6152,2.0209,1.7011,0.1317,85.05,115
B0002,57,33.92,3.6132,1.9994,1.7031,0.1343,85.15,114
B0002,58,34.23,3.5936,1.9957,1.7035,0.1409,85.17,113
B0002,59,33.89,3.6189,2.0096,1.7143,0.1405,85.72,112
B0002,60,34.32,3.6181,1.9284,1.6964,0.1405,84.82,111
B0002,61,34.49,3.5649,2.094,1.7065,0.1382,85.33,110
B0002,62,34.77,3.6084,1.9779,1.6892,0.1428,84.46,109
B0002,63,34.54,3.5876,2.0444,1.6793,0.1432,83.97,108
B0002,64,35.1,3.5365,1.9846,1.6893,0.1438,84.46,107
B0002,65,34.61,3.5725,2.0074,1.6866,0.1482,84.33,106
B0002,66,34.97,3.5621,2.0298,1.6789,0.1484,83.95,105
B0002,67,34.56,3.6036,2.0324,1.6768,0.146,83.84,104
B0002,68,34.9,3.6026,2.0244,1.6793,0.1485,83.97,103
B0002,69,33.97,3.5938,2.0501,1.6711,0.1475,83.55,102
B0002,70,35.04,3.5621,1.9716,1.6631,0.1537,83.16,101
B0002,71,35.09,3.5548,2.0497,1.6629,0.1557,83.15,100
B0002,72,34.84,3.5459,1.982,1.6789,0.1528,83.95,99
B0002,73,34.48,3.5573,1.9299,1.6565,0.1587,82.82,98
B0002,74,34.99,3.5665,1.9941,1.6572,0.1532,82.86,97
B0002,75,35.29,3.5393,1.9755,1.6581,0.1606,82.91,96
B0002,76,35.1,3.5813,2.0288,1.6533,0.1616,82.67,95
B0002,77,35.82,3.5456,2.0414,1.6549,0.1618,82.74,94
B0002,78,35.59,3.5271,1.9814,1.6656,0.1661,83.28,93
B0002,79,35.2,3.5451,2.015,1.6686,0.1597,83.43,92
B0002,80,34.95,3.5368,1.9888,1.6341,0.1619,81.71,91
B0002,81,35.06,3.5303,1.9833,1.6472,0.1583,82.36,90
B0002,82,34.95,3.5512,1.9906,1.6528,0.1641,82.64,89
B0002,83,35.67,3.564,1.9978,1.6454,0.1684,82.27,88
B0002,84,35.76,3.5021,1.9803,1.6508,0.1688,82.54,87
B0002,85,35.77,3.5526,2.008,1.6386,0.1709,81.93,86
B0002,86,35.71,3.5261,2.0165,1.6358,0.1715,81.79,85
B0002,87,35.19,3.5312,1.9745,1.6346,0.1658,81.73,84
B0002,88,35.74,3.5441,2.0117,1.6298,0.1722,81.49,83
B0002,89,35.35,3.5291,2.056,1.6218,0.1678,81.09,82
B0002,90,36.19,3.5061,2.0452,1.6351,0.174,81.76,81
B0002,91,36.56,3.4973,2.0309,1.6195,0.1778,80.97,80
B0002,92,36.5,3.5038,2.0068,1.6154,0.1821,80.77,79
B0002,93,35.92,3.5103,1.9876,1.6223,0.1748,81.12,78
B0002,94,36.35,3.5279,1.9907,1.6222,0.1858,81.11,77
B0002,95,35.94,3.467,1.9871,1.6235,0.1807,81.17,76
B0002,96,35.72,3.4876,1.9846,1.6126,0.1802,80.63,75
B0002,97,36.69,3.4635,1.9958,1.621,0.1857,81.05,74
B0002,98,35.91,3.4979,1.9784,1.6115,0.1855,80.58,73
B0002,99,36.68,3.5086,2.0241,1.6043,0.1868,80.22,72
B0002,100,36.06,3.5178,2.0276,1.5879,0.1829,79.39,71
B0002,101,36.58,3.4619,1.9785,1.5918,0.1887,79.59,70
B0002,102,37.28,3.4615,2.0251,1.5932,0.1912,79.66,69
B0002,103,36.8,3.4599,1.972,1.5876,0.1928,79.38,68
B0002,104,36.41,3.4891,1.9594,1.5902,0.19,79.51,67
B0002,105,37.29,3.4957,2.0094,1.5987,0.1954,79.93,66
B0002,106,36.98,3.5,2.0552,1.573,0.1913,78.65,65
B0002,107,37.46,3.4786,2.0571,1.5772,0.195,78.86,64
B0002,108,36.91,3.433,1.9651,1.5901,0.2003,79.5,63
B0002,109,37.31,3.4852,2.0127,1.5761,0.2023,78.81,62
B0002,110,36.6,3.4586,2.0033,1.5744,0.1987,78.72,61
B0002,111,36.52,3.4684,1.9789,1.5808,0.1993,79.04,60
B0002,112,37.13,3.4592,2.0461,1.5678,0.201,78.39,59
B0002,113,37.44,3.461,2.0601,1.5612,0.2046,78.06,58
B0002,114,37.12,3.4685,1.9174,1.5592,0.2053,77.96,57
B0002,115,37.06,3.4632,2.0183,1.5516,0.2053,77.58,56
B0002,116,36.94,3.413,2.0171,1.5733,0.2032,78.66,55
B0002,117,37.39,3.4306,2.0118,1.5462,0.2095,77.31,54
B0002,118,37.63,3.4068,2.0514,1.5452,0.2036,77.26,53
B0002,119,37.83,3.4573,2.0083,1.5529,0.2105,77.65,52
B0002,120,37.46,3.4094,1.9732,1.5471,0.2134,77.35,51
B0002,121,37.41,3.4223,1.9862,1.5538,0.2148,77.69,50
B0002,122,38.15,3.4438,1.9999,1.5396,0.2135,76.98,49
B0002,123,37.88,3.4111,1.9778,1.5347,0.2198,76.73,48
B0002,124,37.43,3.4386,1.9062,1.5594,0.2144,77.97,47
B0002,125,37.33,3.4569,1.9789,1.5308,0.2186,76.54,46
B0002,126,37.62,3.4346,1.978,1.5464,0.2167,77.32,45
B0002,127,37.53,3.4228,2.0359,1.5208,0.2196,76.04,44
B0002,128,38.36,3.4194,1.9826,1.5297,0.2179,76.48,43
B0002,129,37.8,3.4407,1.9944,1.5291,0.2234,76.45,42
B0002,130,38.5,3.4163,2.0173,1.5187,0.2202,75.93,41
B0002,131,38.5,3.4355,2.0233,1.5211,0.2274,76.06,40
B0002,132,38.21,3.4027,2.0522,1.4997,0.2247,74.98,39
B0002,133,38.04,3.4344,2.0257,1.5261,0.2202,76.3,38
B0002,134,38.23,3.4408,1.9895,1.507,0.2293,75.35,37
B0002,135,38.58,3.4285,2.0426,1.508,0.2271,75.4,36
B0002,136,37.82,3.3649,1.9737,1.5057,0.2311,75.29,35
B0002,137,38.63,3.4096,2.0513,1.5095,0.227,75.47,34
B0002,138,38.49,3.3888,2.0074,1.4985,0.2298,74.92,33
B0002,139,38.11,3.3674,1.9894,1.4934,0.23,74.67,32
B0002,140,39.53,3.3495,2.0047,1.5017,0.2387,75.09,31
B0002,141,38.64,3.4132,2.0053,1.5005,0.2343,75.02,30
B0002,142,38.63,3.4149,1.9789,1.5003,0.2341,75.02,29
B0002,143,39.15,3.4372,1.9783,1.4823,0.238,74.12,28
B0002,144,38.85,3.4097,2.0021,1.4744,0.2391,73.72,27
B0002,145,38.67,3.3998,2.0217,1.477,0.2402,73.85,26
B0002,146,39.16,3.3948,2.0198,1.4806,0.2425,74.03,25
B0002,147,39.21,3.3941,2.0073,1.4676,0.2403,73.38,24
B0002,148,39.19,3.3637,1.9929,1.4766,0.2486,73.83,23
B0002,149,39.61,3.4138,2.0249,1.4593,0.2472,72.96,22
B0002,150,39.04,3.3732,1.9565,1.4584,0.2489,72.92,21
B0002,151,39.34,3.3161,1.9828,1.4542,0.2519,72.71,20
B0002,152,39.26,3.3835,2.0144,1.4499,0.2525,72.49,19
B0002,153,39.29,3.3712,2.011,1.4464,0.2508,72.32,18
B0002,154,39.22,3.3692,2.0113,1.4547,0.2496,72.74,17
B0002,155,39.6,3.3683,2.0161,1.4408,0.2503,72.04,16
B0002,156,40.01,3.3325,2.0041,1.4443,0.2509,72.22,15
B0002,157,39.58,3.3358,2.0376,1.4362,0.2552,71.81,14
B0002,158,38.93,3.344,1.9956,1.455,0.2564,72.75,13
B0002,159,39.45,3.3352,2.0047,1.4356,0.2592,71.78,12
B0002,160,39.39,3.3668,1.9721,1.4327,0.256,71.63,11
B0002,161,39.57,3.3402,1.9809,1.4561,0.2601,72.8,10
B0002,162,39.63,3.3609,2.0486,1.4259,0.2645,71.3,9
B0002,163,39.3,3.4021,2.014,1.4226,0.2563,71.13,8
B0002,164,39.62,3.2522,1.9655,1.4168,0.266,70.84,7
B0002,165,40.2,3.311,1.9895,1.4021,0.2661,70.11,6
B0002,166,40.12,3.3672,2.0087,1.4171,0.2683,70.85,5
B0002,167,39.1,3.3213,2.0036,1.423,0.2586,71.15,4
B0002,168,40.02,3.3112,1.9613,1.4129,0.2709,70.65,3
B0002,169,39.16,3.2849,1.9646,1.4054,0.2646,70.27,2
B0002,170,40.16,3.3395,2.0501,1.3979,0.2711,69.9,1
B0002,171,40.32,3.2726,1.9739,1.3894,0.2708,69.47,0
B0002,172,40.84,3.3049,1.9857,1.386,0.2687,69.3,0
B0002,173,40.16,3.3131,1.9889,1.3889,0.2738,69.44,0
B0002,174,40.64,3.3023,2.0417,1.3966,0.276,69.83,0
B0002,175,40.43,3.3223,1.972,1.3833,0.2776,69.17,0
B0002,176,40.89,3.3111,1.9883,1.3835,0.2845,69.17,0
B0002,177,40.32,3.3233,2.0311,1.3976,0.2743,69.88,0
B0002,178,40.48,3.3085,2.025,1.3869,0.2781,69.34,0
B0002,179,40.21,3.2863,1.9511,1.3742,0.283,68.71,0
B0002,180,40.0,3.3112,1.9887,1.3837,0.2816,69.19,0
B0002,181,40.62,3.2966,2.0303,1.3639,0.279,68.19,0
B0002,182,40.56,3.2949,2.0015,1.3531,0.2824,67.66,0
B0002,183,40.47,3.2901,1.9645,1.3606,0.288,68.03,0
B0002,184,41.16,3.3068,2.0105,1.3634,0.2887,68.17,0
B0002,185,40.83,3.2589,2.0252,1.3585,0.2865,67.93,0
B0002,186,40.94,3.2596,2.012,1.3622,0.2874,68.11,0
B0002,187,40.85,3.2919,1.9835,1.341,0.2843,67.05,0
B0002,188,40.98,3.2698,2.0084,1.3488,0.2927,67.44,0
B0002,189,41.34,3.2981,2.0061,1.355,0.2908,67.75,0
B0002,190,41.2,3.2918,1.9871,1.3532,0.2912,67.66,0
